Full Name,Position,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
Diego Da Silva Costa,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fikayo Tomori,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Scott,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dujon Sterling,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Ampadu,MF,10,0,0,0,1,0,0,0,0,0,0,0,6,7.4,0,0,0.7
Jeremie Boga,MF,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Callum Hudson-Odoi,MF,27,0,0,0,1,0,0,0,0,0,0,0,11,8.8,1.7,27,3.8
Charly Musonda,MF,35,0,1,0,0,0,0,0,0,0,0,0,15,20.6,18.5,14,5
Ross Barkley,MF,129,0,0,0,4,0,0,0,0,0,0,0,11,21,34.7,45,10.1
Kasey Palmer,MF,168,0,0,1,2,0,0,0,2,0,0,0,9,20,25.6,27,7.2
Willy Caballero,GK,270,0,0,1,4,0,0,0,0,0,7,0,54,55.2,0,0,5.5
Emerson Palmieri dos Santos,DF,278,0,1,1,4,0,0,0,0,0,0,0,68,61.8,28.7,48,13.8
Michy Batshuayi,FW,351,2,1,1,7,1,0,0,0,0,0,3,77,99.4,39,123,25.7
Daniel Drinkwater,MF,520,1,0,1,7,0,0,0,0,0,0,1,117,116.4,88.1,54,25.7
David Luiz Moreira Marinho,DF,838,1,2,3,13,0,0,0,3,1,0,0,186,210.2,22.3,65,29.6
Olivier Giroud,FW,981,7,1,5,11,0,0,0,0,0,0,10,273,307,311.1,673,129
Davide Zappacosta,DF,1087,1,1,5,15,0,0,0,0,0,0,1,226,255.2,245.3,329,82.6
Pedro Rodriguez Ledesma,MF,1511,4,2,8,14,0,0,0,1,0,0,2,272,338.4,410,498,124.6
Willian Borges Da Silva,MF,1874,6,8,9,19,0,0,0,1,0,0,13,522,640,891.5,715,224.5
Alvaro Morata,FW,2055,11,6,11,19,0,0,0,7,0,0,13,356,620.6,478.9,1192,228.8
Andreas Christensen,DF,2067,0,0,8,23,0,0,0,0,0,0,4,475,466.6,66.5,109,64.3
Gary Cahill,DF,2082,0,0,9,27,0,0,0,1,1,0,2,447,496.6,55.6,99,65.4
Victor Moses,DF,2109,3,6,11,20,0,0,0,3,0,0,9,486,417,358.1,482,125.9
Tiemoue Bakayoko,MF,2121,2,2,11,24,0,0,0,3,1,0,5,346,415.4,279.5,434,113.2
Cesc Fabregas,MF,2300,2,4,11,26,0,0,0,4,1,0,7,539,713.8,1349.3,485,254.9
Antonio Rudiger,DF,2336,2,1,12,22,0,0,0,4,0,0,8,557,546.6,83,217,84.8
Eden Hazard,MF,2417,12,6,12,27,0,0,0,2,0,0,24,699,928,1127.3,1115,317.3
Marcos Alonso,DF,2855,7,2,13,30,0,0,0,6,0,0,15,650,697.8,549.6,822,207.1
N'Golo Kante,MF,2994,1,2,16,32,0,0,0,3,0,0,9,655,676,638.2,199,151.7
Thibaut Courtois,GK,3150,0,0,15,34,0,0,0,2,0,77,4,635,549,0,0,55.2
Cesar Azpilicueta,DF,3330,2,6,15,38,1,0,0,1,0,0,25,913,967.4,535.7,168,167.5
Joel Robles,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maarten Stekelenburg,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Pennington,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Garbutt,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muhamed Besic,MF,46,0,0,0,0,0,0,0,0,0,0,0,10,18.2,11.5,0,3
Ramiro Funes Mori,DF,119,0,0,0,2,0,0,0,1,0,0,0,14,29.2,0.9,6,3.6
Kevin Mirallas,MF,135,0,0,0,8,0,0,0,1,0,0,0,19,16.4,20.2,42,7.9
Ademola Lookman,MF,153,0,1,0,6,0,0,0,0,0,0,0,30,12,20.5,43,7.5
Beni Baningime,MF,192,0,0,0,2,0,0,0,1,0,0,0,20,9.4,3.8,0,1.3
James McCarthy,MF,204,0,0,0,6,0,0,0,0,0,0,0,41,33.8,19.3,4,5.8
Davy Klaassen,MF,248,0,0,0,6,0,0,0,0,0,0,0,18,23,33.7,28,8.3
Sandro Ramirez,FW,275,0,0,1,7,0,0,0,0,0,0,0,21,8.8,28.3,67,9.8
Nikola Vlasic,MF,572,0,0,1,12,0,0,0,0,0,0,0,80,91.8,159.1,85,33.6
Eliaquim Mangala,DF,617,0,0,2,7,0,0,0,0,0,0,0,118,113.8,19.9,32,16.8
Yannick Bolasie,MF,848,1,1,3,14,0,0,0,0,0,0,0,80,98.6,109,204,40.8
Cenk Tosun,FW,984,5,0,4,13,0,0,0,0,0,0,9,192,232.4,226.4,304,75.6
Seamus Coleman,DF,1035,0,1,4,12,0,0,0,0,0,0,0,198,227.6,113.7,69,41.2
Oumar Niasse,FW,1076,8,3,0,23,0,0,0,2,0,0,14,248,370.6,159.2,634,115.2
Mason Holgate,DF,1183,0,0,4,14,0,0,0,3,0,0,0,214,285.8,93.9,105,48.5
Theo Walcott,MF,1214,3,3,4,17,0,0,0,2,0,0,3,226,316.6,234.9,406,95.9
Jonjoe Kenny,DF,1589,0,2,5,31,0,0,0,2,0,0,2,309,362.4,184.5,47,59.5
Ashley Williams,DF,1830,1,0,5,31,0,0,0,3,1,0,3,332,518,39,132,68.9
Cuco Martina,DF,1830,0,2,5,30,0,0,0,2,0,0,0,367,468.8,238.8,39,74.9
Dominic Calvert-Lewin,FW,1871,4,8,6,28,0,0,0,4,0,0,3,255,354,322.6,630,130.2
Tom Davies,MF,1892,2,2,6,24,0,0,0,7,0,0,3,223,242.8,207.2,218,65.8
Leighton Baines,DF,1909,2,3,5,34,0,0,0,1,0,0,10,381,407.4,373.5,102,88.2
Phil Jagielka,DF,2063,0,0,6,39,0,0,0,2,0,0,5,415,529.2,24.1,108,66.2
Morgan Schneiderlin,MF,2124,0,0,6,38,0,0,0,4,1,0,1,344,361.2,159.2,52,57.2
Gylfi Sigurdsson,MF,2257,4,4,6,40,0,0,0,2,0,0,8,396,485.6,614.9,437,154
Wayne Rooney,FW,2265,10,3,7,33,0,0,3,5,0,0,20,480,585,573.7,467,162.4
Michael Keane,DF,2559,0,1,7,46,0,0,0,3,0,0,11,513,703.4,58.4,124,88.7
Idrissa Gueye,MF,2749,2,2,9,45,0,0,0,6,1,0,7,552,577,303.6,166,104.6
Jordan Pickford,GK,3420,0,0,10,58,0,1,0,0,0,121,16,724,873.6,30.1,4,90.7
Robert Huth,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampalys Mendy,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Musa,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Thomas,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Hughes,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Layton Ndukwu,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Barnes,MF,8,0,0,0,0,0,0,0,0,0,0,0,8,0.2,1,6,0.6
Yohan Benalouane,DF,90,0,0,0,2,0,0,0,0,0,0,0,7,24.8,1.3,18,4.4
Eldin Jakupovic,GK,180,0,0,0,6,0,0,0,0,0,8,0,36,67.8,0,0,6.8
Ben Hamer,GK,274,0,0,1,7,0,0,0,0,0,6,0,54,51.8,0,0,5.1
Hamza Choudhury,MF,375,0,1,0,9,0,0,0,1,0,0,0,60,68,20.2,16,10.4
Daniel Amartey,MF,486,0,0,3,7,0,0,0,0,1,0,0,53,81.2,10.3,0,9.2
Fousseni Diabate,FW,579,0,1,0,12,0,0,0,1,0,0,0,72,98.6,130.8,67,29.7
Adrien Sebastian Perruchet Silva,MF,760,0,2,1,18,0,0,0,3,0,0,0,128,133.2,120,65,31.8
Aleksandar Dragovic,DF,766,0,0,4,14,0,0,0,2,0,0,0,166,177.8,3.6,35,21.8
Kelechi Iheanacho,FW,818,3,4,1,17,0,0,0,2,0,0,5,171,214.2,185.6,350,74.5
Matty James,MF,991,0,0,4,15,0,0,0,2,0,0,0,121,114.6,52.7,145,31.4
Shinji Okazaki,FW,1314,6,3,5,19,0,0,0,2,0,0,7,275,347.6,228.1,508,107.9
Vicente Iborra,MF,1411,3,0,3,23,0,0,0,0,0,0,6,293,341.6,131.6,150,62.3
Demarai Gray,MF,1683,3,3,4,35,0,0,0,2,0,0,2,308,290.6,412.8,461,116.7
Benjamin Chilwell,DF,1848,0,2,6,30,0,0,0,1,1,0,4,381,382.8,332.1,63,78
Christian Fuchs,DF,1917,0,1,4,35,1,0,0,1,0,0,8,370,396.6,282.2,55,73.5
Danny Simpson,DF,2306,0,0,5,41,0,0,0,4,0,0,0,342,444.2,121.2,42,60.7
Marc Albrighton,MF,2533,2,8,8,42,0,0,0,5,1,0,12,458,580,718.3,300,160.2
Wes Morgan,DF,2817,0,0,5,52,0,0,0,4,0,0,1,390,530,62,158,75.1
Wilfred Ndidi,MF,2896,0,4,9,45,0,0,0,6,2,0,4,449,640.4,230.7,299,117.2
Riyad Mahrez,MF,2948,12,13,9,51,0,0,0,2,0,0,19,682,966,924,932,282.6
Kasper Schmeichel,GK,2965,0,0,8,47,1,2,0,3,0,93,17,592,687.2,11.1,0,69.9
Jamie Vardy,FW,3248,20,2,8,57,0,0,1,3,0,0,28,674,822.8,439.9,1222,248.6
Harry Maguire,DF,3420,2,4,9,60,0,0,0,7,0,0,10,716,955.8,254.3,478,168.8
Leiva Lucas,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwaseyi Ojo,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Flanagan,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ward,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Masterson,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Camacho,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Woodburn,MF,6,0,0,0,0,0,0,0,0,0,0,0,3,0.4,2.3,2,0.5
Divock Origi,FW,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
Marko Grujic,MF,14,0,0,0,0,0,0,0,0,0,0,0,9,7.4,11.7,0,1.9
Nathaniel Clyne,DF,173,0,0,1,1,0,0,0,1,0,0,0,25,21.8,23.8,41,8.7
Adam Lallana,MF,234,0,0,1,1,0,0,0,1,0,0,0,37,32.6,113.4,128,27.3
Danny Ings,FW,262,1,1,3,0,0,0,0,0,0,0,0,53,57.8,42,143,24
Dominic Solanke,FW,581,1,2,3,4,0,0,0,0,0,0,2,107,123.8,199.4,350,66.4
Philippe Coutinho,MF,1109,7,7,5,14,0,0,0,0,0,0,15,381,550.4,624.4,519,169.4
Alberto Moreno,DF,1264,0,1,6,19,0,0,0,1,0,0,3,328,261.8,250.1,106,61.7
Ragnar Klavan,DF,1449,1,0,8,15,0,0,0,0,0,0,9,384,357.2,65,43,46.6
Trent Alexander-Arnold,DF,1573,1,2,8,17,0,0,0,3,0,0,10,385,358.2,399.2,142,90.1
Simon Mignolet,GK,1710,0,0,7,24,0,1,0,3,0,36,0,329,281,0,0,28
Loris Karius,GK,1710,0,0,10,14,0,1,0,1,0,31,5,382,280.6,0,0,27.9
Alex Oxlade-Chamberlain,MF,1718,3,7,5,28,0,0,0,3,0,0,5,423,548,625.1,494,166.5
James Milner,DF,1759,0,3,6,25,0,0,0,3,0,0,4,459,437.2,615.5,272,132.5
Joseph Gomez,DF,1901,0,2,9,22,0,0,0,3,0,0,9,480,437.4,285.6,46,76.9
Andrew Robertson,DF,1940,1,5,10,18,0,0,0,2,0,0,12,514,424,414.5,174,101.3
Joel Matip,DF,1995,1,0,9,27,0,0,0,3,0,0,3,470,544.8,96.1,140,78.1
Emre Can,MF,2089,3,6,8,29,0,0,0,8,0,0,10,499,546.4,426.4,231,120.6
Dejan Lovren,DF,2124,2,1,11,24,0,0,0,4,0,0,10,539,656.4,104.5,242,100.2
Jordan Henderson,MF,2169,1,1,14,21,0,0,0,1,0,0,3,382,417,448.8,110,97.8
Sadio Mane,MF,2189,10,8,15,24,0,0,0,3,1,0,8,499,677.4,739.1,964,238
Virgil van Dijk,DF,2253,0,0,8,28,0,0,0,1,0,0,5,481,601,122.6,277,100.2
Georginio Wijnaldum,MF,2381,1,2,15,23,0,0,0,1,0,0,1,406,341.8,356.2,399,109.9
Roberto Firmino,FW,2760,15,8,16,32,0,0,0,1,0,0,29,758,951,834.5,1341,312.7
Mohamed Salah,MF,2905,32,12,15,29,0,0,1,1,0,0,26,881,1496.2,942.5,2109,454.4
Jordy Clasie,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Taylor,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Obafemi,FW,8,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.3,4,0.3
Sam McQueen,DF,142,0,0,1,2,0,0,0,0,0,0,2,49,29.4,34.2,8,7.2
Joshua Sims,MF,160,0,0,1,2,0,0,0,0,0,0,0,18,32.6,43.5,149,22.5
Matt Targett,DF,166,0,0,0,6,0,0,0,0,0,0,0,35,42.2,38.6,0,8.1
Jeremy Pied,DF,180,0,1,0,3,0,0,0,0,0,0,1,47,65.8,29.9,4,10
Jan Bednarek,DF,427,1,0,2,5,0,0,0,1,0,0,0,88,110,1.9,19,13.1
Guido Carrillo,FW,449,0,1,1,8,0,0,0,0,0,0,0,40,50.2,64.2,179,29.4
Charlie Austin,FW,1024,7,1,4,15,0,0,0,2,0,0,9,215,302.8,89.4,689,107.7
Manolo Gabbiadini,FW,1067,5,0,4,17,0,0,0,2,0,0,10,204,203,133.9,269,58.6
Sofiane Boufal,MF,1206,2,2,1,24,0,0,0,1,0,0,2,215,289.4,351.6,397,103.7
Steven Davis,MF,1515,3,2,4,21,0,0,0,0,0,0,6,337,345.2,350.8,126,82.5
Shane Long,FW,1570,2,2,4,28,0,0,0,6,0,0,0,167,235.6,301.9,512,104.6
Alex McCarthy,GK,1620,0,0,4,26,0,0,0,2,0,42,3,278,280.8,0,0,28.1
Pierre-Emile Hojbjerg,MF,1666,0,0,3,30,0,0,0,6,0,0,0,261,266.6,258.4,148,67.6
James Ward-Prowse,MF,1708,3,5,2,29,0,0,0,3,0,0,8,367,363.4,613.9,296,127.1
Mario Lemina,MF,1715,1,1,4,31,0,0,0,2,0,0,5,337,363.6,170.6,145,67.8
Fraser Forster,GK,1800,0,0,4,30,0,1,0,0,0,69,6,351,488.2,0,0,48.9
Nathan Redmond,MF,1938,1,3,7,31,0,0,0,3,0,0,3,296,347,630.9,493,147.2
Jack Stephens,DF,1980,2,0,5,33,0,0,0,6,1,0,2,360,506.6,68.3,224,79.9
Maya Yoshida,DF,2049,2,1,6,32,0,0,0,2,1,0,6,413,525.2,67,236,83
Wesley Hoedt,DF,2520,0,2,5,42,0,0,0,7,0,0,11,532,661.6,130.9,146,93.8
Dusan Tadic,MF,2791,6,3,10,43,0,0,0,4,0,0,10,464,588.6,950.9,656,219.5
Cedric Soares,DF,2794,0,3,7,44,0,0,0,3,0,0,2,481,507,455.6,159,112.3
Oriol Romeu Vidal,MF,2897,1,0,8,47,0,0,0,11,0,0,0,474,616.2,338.7,231,118.7
Ryan Bertrand,DF,3135,0,5,8,49,0,0,0,2,0,0,4,553,515.2,589.1,286,139.3
