,Player,POS,Valuation
615,Luca Cigarini,Defensive Midfield,£720k
618,Nahitan Nández,Central Midfield,£19.80m
621,Radja Nainggolan,Central Midfield,£18.00m
624,Marko Rog,Central Midfield,£9.90m
627,Lucas Castro,Central Midfield,£5.40m
630,Artur Ionita,Central Midfield,£4.05m
633,Alessandro Deiola,Central Midfield,£1.08m
636,Valter Birsa,Attacking Midfield,£1.80m
639,João Pedro,Second Striker,£7.20m
642,Daniele Ragatzu,Second Striker,£360k
645,Giovanni Simeone,Centre-Forward,£15.30m
648,Leonardo Pavoletti,Centre-Forward,£10.80m
651,Alberto Cerri,Centre-Forward,£5.40m
654,Samir Handanovic,Goalkeeper,£5.40m
657,Daniele Padelli,Goalkeeper,£720k
660,Tommaso Berni,Goalkeeper,£90k
663,Milan Skriniar,Centre-Back,£54.00m
666,Stefan de Vrij,Centre-Back,£45.00m
669,Diego Godín,Centre-Back,£18.00m
672,Alessandro Bastoni,Centre-Back,£13.50m
675,Andrea Ranocchia,Centre-Back,£2.70m
678,Lorenzo Pirola,Centre-Back,£360k
681,Federico Dimarco,Left-Back,£4.50m
684,Danilo D'Ambrosio,Right-Back,£11.70m
687,Marcelo Brozovic,Defensive Midfield,£45.00m
690,Nicolò Barella,Central Midfield,£32.40m
693,Stefano Sensi,Central Midfield,£27.00m
696,Matías Vecino,Central Midfield,£20.70m
699,Roberto Gagliardini,Central Midfield,£13.50m
702,Lucien Agoume,Central Midfield,£3.15m
705,Borja Valero,Central Midfield,£2.25m
708,Valentino Lazaro,Right Midfield,£17.10m
711,Antonio Candreva,Right Midfield,£6.30m
714,Kwadwo Asamoah,Left Midfield,£11.70m
717,Cristiano Biraghi,Left Midfield,£9.00m
720,Alexis Sánchez,Left Winger,£31.50m
723,Matteo Politano,Right Winger,£27.00m
726,Romelu Lukaku,Centre-Forward,£67.50m
729,Lautaro Martínez,Centre-Forward,£36.00m
732,Sebastiano Esposito,Centre-Forward,£4.50m
735,Pau López,Goalkeeper,£18.00m
738,Antonio Mirante,Goalkeeper,£720k
741,Daniel Fuzato,Goalkeeper,£90k
744,Gianluca Mancini,Centre-Back,£19.80m
747,Chris Smalling,Centre-Back,£18.00m
750,Juan Jesus,Centre-Back,£8.10m
753,Federico Fazio,Centre-Back,£5.40m
756,Mert Cetin,Centre-Back,£1.80m
759,Leonardo Spinazzola,Left-Back,£13.50m
762,Aleksandar Kolarov,Left-Back,£7.20m
765,Davide Santon,Left-Back,£4.50m
768,Alessandro Florenzi,Right-Back,£22.50m
771,Davide Zappacosta,Right-Back,£13.50m
774,Amadou Diawara,Defensive Midfield,£13.50m
777,Lorenzo Pellegrini,Central Midfield,£36.00m
780,Bryan Cristante,Central Midfield,£22.50m
783,Jordan Veretout,Central Midfield,£18.00m
786,Nicolò Zaniolo,Attacking Midfield,£36.00m
789,Henrikh Mkhitaryan,Attacking Midfield,£22.50m
792,Javier Pastore,Attacking Midfield,£13.50m
795,Justin Kluivert,Left Winger,£20.70m
798,Diego Perotti,Left Winger,£10.80m
801,Cengiz Ünder,Right Winger,£31.50m
804,Mirko Antonucci,Right Winger,£450k
807,Edin Dzeko,Centre-Forward,£12.60m
810,Nikola Kalinic,Centre-Forward,£9.00m
813,Alex Meret,Goalkeeper,£27.00m
816,David Ospina,Goalkeeper,£3.60m
819,Orestis Karnezis,Goalkeeper,£1.35m
822,Kalidou Koulibaly,Centre-Back,£67.50m
825,Konstantinos Manolas,Centre-Back,£40.50m
828,Nikola Maksimovic,Centre-Back,£15.30m
831,Lorenzo Tonelli,Centre-Back,£6.30m
834,Sebastiano Luperto,Centre-Back,£3.60m
837,Faouzi Ghoulam,Left-Back,£20.70m
840,Mário Rui,Left-Back,£13.50m
