full_name,position,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,saves,penalties_scored,yellow_cards,red_cards,creativity,influence,threat,bonus,bps,ict_index
Jordan Henderson,MF,1704,1,2,4,23,0,0,0,0,0,262.3,358,108,2,345,72.9
Adam Lallana,MF,1584,1,1,5,18,0,0,0,0,0,355.7,255.2,302,2,265,91
Mohamed Naser El Sayed Elneny,MF,1538,1,0,5,20,0,0,0,3,0,99.9,200.2,79,3,258,37.8
Alex Iwobi,MF,1530,1,3,5,21,0,0,0,0,0,263.1,262.6,233,1,256,76
Willian Borges Da Silva,MF,1398,1,7,3,17,0,0,0,0,0,534.8,256.2,228,9,306,102.3
Said Benrahma,MF,1376,1,6,3,19,0,0,0,0,0,371.9,301,371,4,255,104.6
Tyler Roberts,MF,1330,1,2,4,19,0,0,0,3,0,239,189.4,296,0,169,72.5
Moussa Djenepo,MF,1229,1,2,3,27,0,0,0,5,0,97.7,178,170,0,140,44.1
Steven Bergwijn,MF,1202,1,4,5,15,0,0,0,3,0,190.9,161.4,180,2,129,52.8
Curtis Jones,MF,1169,1,2,5,14,0,0,0,2,0,233.4,224.6,289,0,226,74.8
Alexis Mac Allister,MF,1108,1,1,5,14,0,0,0,1,0,210.6,170.6,235,3,148,61.5
Giovani Lo Celso,MF,939,1,1,5,10,0,0,0,5,0,222.8,169.2,155,0,149,54.3
Steven Alzate,MF,892,1,0,5,17,0,0,0,2,0,154.9,132.2,88,3,141,37.6
Nathan Tella,MF,735,1,2,2,11,0,0,0,2,0,86,94.6,203,2,76,38.2
Dennis Praet,MF,714,1,2,3,11,0,0,0,0,0,132.1,119.2,120,1,129,36.9
Erik Lamela,MF,700,1,1,1,17,0,0,0,4,1,137.1,115.2,236,0,96,48.4
Manuel Lanzini,MF,556,1,1,1,5,0,0,0,1,0,153,121.4,102,0,117,37.5
Donny van de Beek,MF,511,1,2,0,12,0,0,0,1,0,58.4,117,70,0,133,24.5
Juan Mata,MF,507,1,3,1,6,0,0,1,0,0,132.8,108.4,86,3,126,32.7
Bernard Anicio Caldeira Duarte,MF,447,1,0,2,7,0,0,0,2,0,142.7,104.8,80,1,75,32.7
Morgan Gibbs White,MF,407,1,0,0,6,0,0,0,1,0,112.8,85,114,3,87,31.3
Alex Oxlade Chamberlain,MF,243,1,1,0,6,0,0,0,0,0,32.9,70.8,68,0,58,17.1
Josh Brownhill,MF,2812,0,1,10,42,0,0,0,2,0,309.1,350.4,384,0,359,104.5
Douglas Luiz Soares de Paulo,MF,2781,0,2,12,41,0,0,0,8,1,304.5,403.4,189,0,358,90
Fabio Henrique Tavares,MF,2566,0,2,11,29,0,0,0,6,0,106.8,460.4,75,2,421,64.6
NGolo Kante,MF,2140,0,2,10,24,0,0,0,7,0,347.3,449,96,0,375,89.7
Allan Marques Loureiro,MF,2050,0,0,7,30,0,0,0,6,0,233.3,366.6,42,0,290,64.4
Isaac Hayden,MF,1942,0,0,4,33,0,0,0,8,0,117.7,278,155,0,211,55.3
Mateo Kovacic,MF,1809,0,1,9,26,0,0,0,4,0,384.8,332.4,153,0,332,87
Ainsley Maitland Niles,MF,1714,0,2,6,23,0,0,0,2,0,128.9,218.2,142,1,273,48.8
Moussa Sissoko,MF,1576,0,0,5,22,0,0,0,3,0,94.5,182.2,69,2,214,34.6
Andre Filipe Tavares Gomes,MF,1559,0,1,5,22,0,0,0,3,0,244.5,189,103,0,224,53
Thomas Partey,MF,1529,0,2,6,18,0,0,0,5,0,195.7,289.4,129,0,273,61.7
James McArthur,MF,1465,0,2,4,26,0,0,0,3,0,202.2,285.2,65,3,228,55.2
Nampalys Mendy,MF,1452,0,1,4,25,0,0,0,5,0,118.7,153,23,0,234,29.6
Tom Davies,MF,1417,0,1,5,23,0,0,0,3,0,112,205.6,30,1,209,34.7
Sean Longstaff,MF,1405,0,1,2,26,0,0,0,2,0,182.8,179.2,148,1,168,50.8
Jack Cork,MF,1350,0,0,4,24,0,0,0,2,0,126.2,140,82,0,154,34.9
Fernando Luiz Rosa,MF,1182,0,2,7,10,0,0,0,6,0,220.8,248.6,106,8,303,57.6
Nemanja Matic,MF,1101,0,1,4,18,0,0,0,2,0,149,218.4,80,0,223,44.7
James Milner,MF,1056,0,2,4,10,0,0,0,3,0,242,200,108,2,204,55.2
Ibrahima Diallo,MF,1010,0,0,3,22,0,0,0,3,0,143.2,120.4,66,0,132,32.9
Ryan Fraser,MF,922,0,4,4,18,0,0,0,0,1,395,142.8,165,0,154,70.1
Harry Winks,MF,856,0,0,1,16,0,0,0,5,0,77.6,128.2,24,0,124,22.8
Marvelous Nakamba,MF,747,0,1,4,6,0,0,0,3,0,32.5,110.8,10,1,115,15.4
Mark Noble,MF,701,0,0,0,15,0,0,0,1,0,88.6,80.4,7,0,132,17.6
Jakub Moder,MF,643,0,0,2,10,0,0,0,0,0,62.2,63.8,162,0,59,28.8
Bamidele Alli,MF,613,0,2,3,9,0,0,0,0,0,132.1,103.4,165,0,101,39.9
Jacob Ramsey,MF,611,0,0,2,10,0,0,0,0,0,91.7,72.8,126,0,75,28.9
Xherdan Shaqiri,MF,548,0,2,2,7,0,0,0,2,0,294.2,95.2,86,1,127,47.6
Alireza Jahanbakhsh,MF,520,0,1,1,9,0,0,0,3,0,162.8,73.2,221,0,102,45.5
Naby Keita,MF,517,0,0,2,8,0,0,0,1,0,100.5,70.6,119,0,78,29
Jamie Shackleton,MF,454,0,0,1,11,0,0,0,0,0,45.7,52,18,0,72,11.4
Pablo Hernandez Dominguez,MF,414,0,3,1,6,0,0,0,1,0,97.9,84,153,0,103,33.4
Matthew Longstaff,MF,376,0,0,1,8,0,0,0,0,0,35.6,32.6,2,0,47,7
Andriy Yarmolenko,MF,362,0,1,1,7,0,0,0,3,0,80.3,50.6,106,0,47,23.5
Ian Carlo Poveda Ocampo,MF,344,0,0,0,5,0,0,0,0,0,71.5,55,91,0,43,21.8
Hamza Choudhury,MF,311,0,0,2,2,0,0,0,1,0,13.5,34,29,0,59,7.6
Morgan Sanson,MF,288,0,0,1,4,0,0,0,3,0,28.8,25.8,10,0,29,6.2
Josh Benson,MF,260,0,0,1,7,0,0,0,0,0,7.9,16,13,0,27,3.7
Fabian Delph,MF,260,0,0,0,6,0,0,0,1,0,29.8,37,1,0,48,6.8
Billy Gilmour,MF,259,0,0,1,2,0,0,0,0,0,50.9,36,8,0,38,9.5
Dale Stephens,MF,257,0,0,0,4,0,0,0,1,0,8.3,31,41,0,33,8
Davy Propper,MF,209,0,0,0,2,0,0,0,0,0,5.1,24,52,0,38,8.2
Owen Otasowie,MF,185,0,1,0,6,0,0,0,1,0,25.9,38.2,34,0,33,9.8
