Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Mitchell Weiser,HB,BUND,M,24,1981,23,1,4,2,0,0,1,2,0,1,1,13,4,51,91,32,40,4,23,15,1,54,43,33,48,662,889,15,25,95,29,154,1,0,7,2,1,6,2,0,0,0,36,0,1613,27,0,0,0,0,15,3,28,24,11,0,0,0,28,4,0,28,28,29,1,0,0,0,0,87
Luka Modric,RMD,LIGA,M,26,1976,23,3,9,3,0,0,1,6,1,4,2,35,8,31,18,3,39,8,33,0,4,33,22,20,31,1390,1547,2,7,149,48,119,0,0,16,2,0,19,6,1,0,0,20,0,1845,49,0,0,0,0,1,0,6,4,12,0,0,0,19,5,0,7,7,126,8,0,0,1,0,63
Phil Jones,MUN,EPL,D,23,1975,23,0,2,2,0,0,0,0,0,0,0,2,0,41,2,0,2,0,2,0,17,25,18,10,24,988,1083,0,57,134,7,109,0,2,1,0,0,1,0,0,0,0,1,1,1379,3,0,0,0,0,0,0,0,0,1,0,0,0,11,15,0,129,129,53,0,0,0,1,0,9
Dwight Gayle,NEW,EPL,F,35,1961,23,12,15,3,0,0,6,3,0,2,1,57,21,6,5,1,21,3,18,0,2,12,10,23,28,313,433,1,66,45,9,115,0,0,44,18,6,13,3,0,0,0,24,0,697,91,0,0,0,0,0,0,0,0,4,4,0,0,31,1,0,17,17,4,0,0,22,9,5,18
Naby Keita,RBL,BUND,M,27,1960,23,4,9,7,1,2,6,5,0,4,1,42,12,45,18,7,39,7,32,1,3,63,46,52,60,984,1209,6,15,190,67,204,0,0,14,6,2,28,6,4,0,0,58,0,1754,53,0,0,0,0,0,0,5,3,10,1,1,1,35,3,0,17,17,32,9,0,0,3,1,119
Joseph Alfred Duncan,SAS,SERI,M,26,1955,23,3,11,4,0,0,0,2,0,2,0,40,9,19,74,13,34,3,32,0,2,39,29,40,16,535,708,10,14,144,34,103,1,0,17,2,0,23,7,0,0,0,57,0,1156,43,0,0,0,0,0,0,14,12,21,0,0,0,30,6,0,21,21,45,1,0,4,1,0,51
Juan Mata,MUN,EPL,M,28,1930,23,5,16,1,0,0,3,5,0,5,0,28,10,15,111,30,51,6,39,7,0,18,13,12,20,1054,1215,17,3,109,17,58,1,0,17,7,2,11,3,1,0,0,19,0,1538,94,0,0,0,0,10,2,54,48,21,4,1,1,10,3,0,7,7,54,1,0,18,3,1,24
Yuya Osako,KLN,BUND,F,25,1904,23,2,11,2,1,1,4,2,1,1,1,36,15,11,25,6,24,3,22,0,2,11,9,24,39,440,601,6,35,71,16,101,0,0,20,12,4,16,3,0,0,0,37,0,898,72,0,0,0,0,0,0,0,0,11,0,0,0,40,1,0,19,19,19,0,0,6,5,1,46
Pierrick Capelle,SCO,FRAN,M,28,1893,23,5,16,3,0,0,2,1,1,1,0,40,12,35,35,7,30,2,27,2,0,49,37,28,18,598,762,5,34,140,34,134,0,0,20,7,2,20,5,0,0,0,42,1,1194,49,0,0,0,0,0,0,5,4,13,1,1,0,27,0,0,22,22,30,3,0,1,0,2,44
Philipp Bargfrede,BRE,BUND,M,27,1869,23,4,15,5,0,0,1,1,0,1,0,15,5,53,4,1,8,1,7,0,11,61,46,43,27,766,959,1,41,139,5,132,0,0,1,0,0,14,5,1,0,0,12,0,1260,4,0,0,0,0,0,0,1,0,3,0,0,0,22,0,0,49,49,61,0,0,0,0,0,10
Serge Gakpe,ASC,FRAN,M,29,1836,23,6,17,1,0,0,3,3,1,3,0,30,12,10,27,1,16,0,13,0,1,16,12,18,15,342,473,1,17,89,18,65,0,1,18,8,3,12,4,0,0,0,24,0,729,57,0,0,0,0,1,0,2,2,16,0,0,0,16,2,0,13,13,11,2,0,8,2,3,33
Andrej Kramaric,HOF,BUND,F,34,2222,22,12,6,1,0,0,13,6,0,3,3,83,35,8,139,46,52,8,28,18,0,8,6,10,28,624,778,19,9,66,19,62,0,0,48,20,9,35,15,4,0,0,47,0,1252,114,2,2,0,0,13,5,63,55,21,8,5,2,38,3,0,6,6,37,2,0,12,7,5,51
Kai Havertz,LEV,BUND,M,30,2140,22,8,4,3,0,0,3,8,0,7,1,37,14,21,19,6,31,9,23,0,2,34,23,30,47,877,1080,6,81,122,27,186,0,0,24,7,3,13,7,0,0,1,41,0,1504,71,0,0,0,0,0,0,0,0,9,0,0,0,31,5,0,20,20,45,3,0,4,1,3,60
Johan Mojica,GIR,LIGA,M/D,30,2132,22,8,4,6,0,0,0,4,0,3,1,22,2,32,147,36,23,8,19,0,3,42,27,38,47,602,774,36,27,161,47,162,1,1,8,0,0,14,2,0,0,0,25,0,1620,40,0,0,0,0,0,0,1,0,27,2,0,0,38,8,0,31,31,33,0,0,6,0,0,116
Inigo Lekue,ATH,LIGA,M/D,32,2104,22,10,3,3,0,0,0,1,0,1,0,18,5,16,72,17,19,2,16,2,3,71,42,25,12,726,949,16,27,136,43,153,0,1,4,2,0,14,3,0,0,0,19,0,1585,32,0,0,0,0,1,1,0,0,14,0,0,0,30,5,1,37,37,49,0,0,1,0,0,75
Isaac Mbenza,MTP,FRAN,F/M,38,2094,22,16,14,4,0,0,8,0,0,0,0,55,23,4,121,26,29,1,17,12,1,16,11,12,19,397,525,11,7,69,22,64,0,0,27,17,5,28,6,3,0,0,34,0,913,66,0,0,0,0,22,4,43,40,25,5,0,0,22,1,0,4,4,26,0,0,13,9,3,35
