,Player,POS,Valuation
579,Marshall Munetsi,Centre-Back,£495k
582,Ghislain Konan,Left-Back,£3.60m
585,Hassane Kamara,Left-Back,£2.25m
588,Lenny Vallier,Left-Back,£270k
591,Thomas Foket,Right-Back,£5.40m
594,Xavier Chavalerin,Defensive Midfield,£3.60m
597,Nolan Mbemba,Defensive Midfield,£675k
600,Alaixys Romao,Defensive Midfield,£450k
603,Sambou Sissoko,Defensive Midfield,£450k
606,Tristan Dingomé,Central Midfield,£2.25m
609,Grégory Berthier,Right Midfield,£540k
612,Dereck Kutesa,Left Midfield,£1.58m
615,Mathieu Cafaro,Attacking Midfield,£6.75m
618,Moreto Cassamá,Attacking Midfield,£315k
621,Arbër Zeneli,Left Winger,£5.40m
624,Moussa Doumbia,Left Winger,£1.80m
627,Nathanaël Mbuku,Left Winger,£900k
630,Rémi Oudin,Right Winger,£9.90m
633,Anastasios Donis,Centre-Forward,£3.60m
636,Hyun-jun Suk,Centre-Forward,£3.15m
639,Boulaye Dia,Centre-Forward,£3.15m
642,Timothé Nkada,Centre-Forward,£135k
645,Virgile Pinson,Centre-Forward,£135k
648,Alexandre Oukidja,Goalkeeper,£1.80m
651,Paul Delecroix,Goalkeeper,£540k
654,Guillaume Dietsch,Goalkeeper,£135k
657,Mamadou Fofana,Centre-Back,£1.80m
660,Stoppila Sunzu,Centre-Back,£1.80m
663,John Boye,Centre-Back,£900k
666,Thomas Delaine,Left-Back,£1.35m
669,Manuel Cabit,Left-Back,£720k
672,Matthieu Udol,Left-Back,£360k
675,Fabien Centonze,Right-Back,£2.25m
678,Kévin N'Doram,Defensive Midfield,£3.60m
681,Habib Maïga,Defensive Midfield,£900k
684,Victorien Angban,Central Midfield,£3.15m
687,Adama Traoré,Central Midfield,£1.98m
690,Marvin Gakpa,Central Midfield,£900k
693,Renaud Cohade,Central Midfield,£900k
696,Sami Lahssaini,Central Midfield,£135k
699,Boubacar Traore,Central Midfield,£90k
702,Opa Nguette,Left Winger,£1.80m
705,Adama Traore,Left Winger,£270k
708,Farid Boulaya,Right Winger,£1.80m
711,Papa Ndiaga Yade,Second Striker,£135k
714,Habib Diallo,Centre-Forward,£5.40m
717,Ibrahima Niane,Centre-Forward,£3.15m
720,Thierry Ambrose,Centre-Forward,£1.80m
723,Amadou Ndiaye,Centre-Forward,£135k
726,Alban Lafont,Goalkeeper,£10.80m
729,Alexandre Olliero,Goalkeeper,£360k
732,Denis Petric,Goalkeeper,£360k
735,Nicolas Pallois,Centre-Back,£2.25m
738,Molla Wagué,Centre-Back,£900k
741,Thomas Basila,Centre-Back,£450k
744,Josué Homawoo,Centre-Back,£135k
747,Charles Traoré,Left-Back,£2.70m
750,Wesley Moustache,Left-Back,£135k
753,Fábio,Right-Back,£2.25m
756,Dennis Appiah,Right-Back,£1.35m
759,Abdoulaye Touré,Defensive Midfield,£9.00m
762,Andrei Girotto,Defensive Midfield,£2.70m
765,Batista Mendy,Defensive Midfield,£135k
768,Ludovic Blas,Central Midfield,£6.30m
771,Samuel Moutoussamy,Central Midfield,£4.50m
774,Rene Krhin,Central Midfield,£1.80m
777,Mehdi Abeid,Central Midfield,£1.58m
780,Kayembe,Left Midfield,£450k
783,Cristian Benavente,Attacking Midfield,£4.95m
786,Imran Louza,Attacking Midfield,£2.70m
789,Moses Simon,Left Winger,£2.70m
792,Abdoulaye Dabo,Left Winger,£900k
795,Marcus Coco,Right Winger,£2.70m
798,Abdoul Kader Bamba,Right Winger,£720k
801,Kalifa Coulibaly,Centre-Forward,£4.50m
804,Bridge Ndilu,Centre-Forward,£360k
807,Thody Élie Youan,Centre-Forward,£225k
810,Danijel Petkovic,Goalkeeper,£810k
813,Ludovic Butelle,Goalkeeper,£225k
816,Anthony Mandrea,Goalkeeper,£180k
819,Romain Thomas,Centre-Back,£2.70m
822,Mateo Pavlovic,Centre-Back,£1.58m
825,Ismaël Traoré,Centre-Back,£1.35m
828,Ibrahim Cissé,Centre-Back,£540k
831,Rayan Aït Nouri,Left-Back,£5.40m
834,Théo Pellenard,Left-Back,£1.80m
837,Abdoulaye Bamba,Right-Back,£2.70m
840,Vincent Manceau,Right-Back,£2.25m
843,Haithem Loucif,Right-Back,£585k
846,Baptiste Santamaría,Defensive Midfield,£7.20m
849,Vincent Pajot,Defensive Midfield,£2.25m
852,Antonin Bobichon,Central Midfield,£4.50m
855,Thomas Mangani,Central Midfield,£1.80m
858,Angelo Fulgini,Right Midfield,£4.50m
861,Sada Thioub,Right Midfield,£3.60m
864,Mathias Pereira Lage,Left Midfield,£3.15m
867,Pierrick Capelle,Left Midfield,£1.80m
870,Anthony Gomez Mancini,Attacking Midfield,£135k
873,Casimir Ninga,Left Winger,£2.70m
876,Farid El Melali,Right Winger,£1.80m
879,Stéphane Bahoken,Centre-Forward,£7.20m
882,Rachid Alioui,Centre-Forward,£3.60m
885,Wilfried Kanga,Centre-Forward,£1.35m
888,Paul Bernardoni,Goalkeeper,£8.10m
891,Lucas Dias,Goalkeeper,£135k
894,Anthony Briancon,Centre-Back,£4.50m
897,Pablo Martinez,Centre-Back,£3.15m
900,Loïck Landre,Centre-Back,£3.15m
903,Kelyan Guessoum,Centre-Back,£135k
906,Florian Miguel,Left-Back,£1.80m
909,Théo Sainte-Luce,Left-Back,£135k
912,Sofiane Alakouch,Right-Back,£4.50m
915,Gaëtan Paquiez,Right-Back,£900k
918,Lucas Buades,Right-Back,£135k
921,Lamine Fomba,Defensive Midfield,£3.60m
924,Sidy Sarr,Defensive Midfield,£1.80m
927,Lucas Deaux,Defensive Midfield,£1.80m
930,Theo Valls,Central Midfield,£2.25m
933,Zinedine Ferhat,Right Midfield,£3.15m
936,Romain Philippoteaux,Left Midfield,£900k
939,Haris Duljevic,Left Midfield,£900k
942,Renaud Ripart,Centre-Forward,£3.60m
945,Clément Depres,Centre-Forward,£1.35m
948,Kévin Denkey,Centre-Forward,£1.35m
951,Vlatko Stojanovski,Centre-Forward,£450k
954,Sami Ben Amar,Centre-Forward,£135k
957,Benjamin Lecomte,Goalkeeper,£12.60m
960,Danijel Subasic,Goalkeeper,£1.80m
963,Seydou Sy,Goalkeeper,£675k
966,Diego Benaglio,Goalkeeper,£450k
969,Benoît Badiashile,Centre-Back,£16.20m
972,Guillermo Maripán,Centre-Back,£13.50m
975,Kamil Glik,Centre-Back,£7.20m
978,Jemerson,Centre-Back,£5.40m
981,Naldo,Centre-Back,£450k
984,Fodé Ballo-Touré,Left-Back,£9.00m
987,Arthur Zagre,Left-Back,£6.30m
990,Benjamin Henrichs,Right-Back,£13.50m
993,Ruben Aguilar,Right-Back,£7.20m
996,Tiemoué Bakayoko,Defensive Midfield,£31.50m
999,Adrien Silva,Central Midfield,£11.70m
1002,Cesc Fàbregas,Central Midfield,£10.80m
1005,Aleksandr Golovin,Attacking Midfield,£22.50m
1008,Gabriel Boschilia,Attacking Midfield,£3.60m
1011,Keita Baldé,Left Winger,£22.50m
1014,Henry Onyekuru,Left Winger,£11.70m
1017,Willem Geubbels,Left Winger,£9.00m
1020,Gelson Martins,Right Winger,£25.20m
1023,Gil Dias,Right Winger,£2.25m
1026,Wissam Ben Yedder,Centre-Forward,£36.00m
1029,Jean-Kévin Augustin,Centre-Forward,£14.40m
1032,Stevan Jovetic,Centre-Forward,£9.00m
1035,Pietro Pellegri,Centre-Forward,£6.30m
1038,Islam Slimani,Centre-Forward,£4.50m
1041,Moussa Sylla,Centre-Forward,£3.60m
1044,Gautier Larsonneur,Goalkeeper,£3.60m
1047,Donovan Léon,Goalkeeper,£225k
1050,Denys Bain,Centre-Back,£2.25m
1053,Jean-Kevin Duverne,Centre-Back,£1.80m
1056,Jean-Charles Castelletto,Centre-Back,£1.35m
1059,Brendan Chardonnet,Centre-Back,£720k
1062,Romain Perraud,Left-Back,£2.25m
1065,David Kiki,Left-Back,£540k
1068,Ludovic Baal,Left-Back,£450k
1071,Julien Faussurier,Right-Back,£900k
1074,Gaëtan Belaud,Right-Back,£810k
1077,Paul Lasne,Defensive Midfield,£2.25m
1080,Ibrahima Diallo,Central Midfield,£3.15m
1083,Cristian Battocchio,Central Midfield,£1.35m
1086,Haris Belkebla,Central Midfield,£900k
1089,Ferris N'Goma,Central Midfield,£630k
1092,Hugo Magnetti,Central Midfield,£135k
1095,Hiang'a Mbock,Central Midfield,£135k
1098,Samuel Grandsir,Right Midfield,£2.70m
1101,Yoann Court,Left Midfield,£900k
1104,Mathias Autret,Attacking Midfield,£2.25m
1107,Gaëtan Charbonnier,Centre-Forward,£2.25m
1110,Alexandre Mendy,Centre-Forward,£2.03m
1113,Irvin Cardona,Centre-Forward,£1.35m
1116,Kévin Mayi,Centre-Forward,£630k
1119,Derick Osei Yaw,Centre-Forward,£135k
1122,Mike Maignan,Goalkeeper,£19.80m
1125,Léo Jardim,Goalkeeper,£3.60m
1128,Gabriel Magalhães,Centre-Back,£9.00m
1131,Adama Soumaoro,Centre-Back,£9.00m
1134,Tiago Djaló,Centre-Back,£2.70m
1137,José Fonte,Centre-Back,£1.80m
1140,Saad Agouzoul,Centre-Back,£540k
1143,Domagoj Bradaric,Left-Back,£5.85m
1146,Reinildo Mandava,Left-Back,£1.80m
1149,Zeki Celik,Right-Back,£15.30m
1152,Jérémy Pied,Right-Back,£2.25m
1155,Boubakary Soumaré,Defensive Midfield,£16.20m
1158,Thiago Maia,Defensive Midfield,£3.60m
1161,Renato Sanches,Central Midfield,£16.20m
1164,Xeka,Central Midfield,£9.00m
1167,Benjamin André,Central Midfield,£9.00m
1170,Jonathan Ikoné,Attacking Midfield,£24.30m
1173,Yusuf Yazici,Attacking Midfield,£14.40m
1176,Jonathan Bamba,Left Winger,£18.00m
1179,Luiz Araújo,Left Winger,£6.30m
1182,Victor Osimhen,Centre-Forward,£11.70m
1185,Timothy Weah,Centre-Forward,£7.20m
1188,Loïc Rémy,Centre-Forward,£2.70m
1191,Stéphane Ruffier,Goalkeeper,£3.15m
1194,Jessy Moulin,Goalkeeper,£225k
1197,Théo Vermot,Goalkeeper,£135k
1200,Stefan Bajic,Goalkeeper,£135k
1203,William Saliba,Centre-Back,£22.50m
1206,Timothée Kolodziejczak,Centre-Back,£5.40m
1209,Harold Moukoudi,Centre-Back,£2.70m
1212,Loïc Perrin,Centre-Back,£1.80m
1215,Léo Lacroix,Centre-Back,£1.13m
1218,Gabriel Silva,Left-Back,£2.25m
1221,Miguel Trauco,Left-Back,£1.58m
1224,Sergi Palencia,Right-Back,£3.60m
1227,Mathieu Debuchy,Right-Back,£2.70m
1230,Alpha Sissoko,Right-Back,£450k
1233,Yann M'Vila,Defensive Midfield,£9.00m
1236,Jean-Eudes Aholou,Defensive Midfield,£6.30m
1239,Assane Dioussé,Defensive Midfield,£4.05m
1242,Zaydou Youssouf,Central Midfield,£3.60m
1245,Yohan Cabaye,Central Midfield,£1.80m
1248,Mahdi Camara,Central Midfield,£270k
1251,Wahbi Khazri,Attacking Midfield,£14.40m
1254,Ryad Boudebouz,Attacking Midfield,£5.40m
1257,Denis Bouanga,Left Winger,£5.40m
1260,Arnaud Nordin,Left Winger,£3.15m
1263,Kévin Monnet-Paquet,Left Winger,£1.80m
1266,Romain Hamouma,Right Winger,£2.25m
1269,Franck Honorat,Right Winger,£1.80m
1272,Loïs Diony,Centre-Forward,£4.50m
1275,Robert Beric,Centre-Forward,£4.50m
1278,Charles Abi,Centre-Forward,£450k
1281,Edouard Mendy,Goalkeeper,£8.10m
1284,Romain Salin,Goalkeeper,£180k
1290,Joris Gnagnon,Centre-Back,£5.40m
1293,Jérémy Gelin,Centre-Back,£5.40m
1296,Damien Da Silva,Centre-Back,£4.50m
1299,Gerzino Nyamsi,Centre-Back,£1.80m
1302,Jérémy Morel,Centre-Back,£225k
1305,Faitout Maouassa,Left-Back,£7.20m
1308,Souleyman Doumbia,Left-Back,£2.70m
1311,Hamari Traoré,Right-Back,£5.40m
1314,Sacha Boey,Right-Back,£720k
1317,Eduardo Camavinga,Defensive Midfield,£18.00m
1320,Benjamin Bourigeaud,Central Midfield,£13.50m
1323,Clément Grenier,Central Midfield,£6.75m
1326,Jonas Martin,Central Midfield,£4.50m
1329,James Léa Siliki,Central Midfield,£3.60m
1332,Jakob Johansson,Central Midfield,£2.25m
1335,Adrien Hunou,Attacking Midfield,£5.40m
1338,Rafik Guitane,Attacking Midfield,£4.50m
1341,Yann Gboho,Attacking Midfield,£135k
