,Player,POS,Valuation
633,Sergio Asenjo,Goalkeeper,£10.80m
636,Andrés Fernández,Goalkeeper,£1.35m
639,Mariano Barbosa,Goalkeeper,£360k
642,Ramiro Funes Mori,Centre-Back,£7.20m
645,Pau Torres,Centre-Back,£5.40m
648,Raúl Albiol,Centre-Back,£4.50m
651,Alberto Moreno,Left-Back,£8.10m
654,Xavi Quintillà,Left-Back,£1.80m
657,Mario Gaspar,Right-Back,£9.00m
660,Rubén Peña,Right-Back,£7.20m
663,André Zambo Anguissa,Defensive Midfield,£22.50m
666,Santiago Cáseres,Defensive Midfield,£9.00m
669,Bruno Soriano,Defensive Midfield,£720k
672,Manu Trigueros,Central Midfield,£13.50m
675,Vicente Iborra,Central Midfield,£8.10m
678,Santi Cazorla,Central Midfield,£3.60m
681,Manu Morlanes,Central Midfield,£2.25m
684,Javi Ontiveros,Left Winger,£6.75m
687,Moi Gómez,Left Winger,£4.50m
690,Samu Chukwueze,Right Winger,£27.00m
693,Leo Suárez,Right Winger,£900k
696,Gerard Moreno,Centre-Forward,£15.75m
699,Karl Toko Ekambi,Centre-Forward,£15.75m
702,Carlos Bacca,Centre-Forward,£4.50m
705,Alex Remiro,Goalkeeper,£1.35m
708,Miguel Ángel Moyà,Goalkeeper,£1.35m
711,Andoni Zubiaurre,Goalkeeper,£270k
714,Diego Llorente,Centre-Back,£22.50m
717,Aritz Elustondo,Centre-Back,£9.00m
720,Modibo Sagnan,Centre-Back,£4.05m
723,Robin Le Normand,Centre-Back,£3.60m
726,Nacho Monreal,Left-Back,£7.20m
729,Aihen Muñoz,Left-Back,£6.75m
732,Joseba Zaldua,Right-Back,£9.00m
735,Andoni Gorosabel,Right-Back,£1.35m
738,Igor Zubeldia,Defensive Midfield,£27.00m
741,Asier Illarramendi,Defensive Midfield,£22.50m
744,Mikel Merino,Central Midfield,£13.50m
747,Rubén Pardo,Central Midfield,£3.60m
750,Ander Guevara,Central Midfield,£2.25m
753,David Zurutuza,Central Midfield,£2.25m
756,Martin Ødegaard,Attacking Midfield,£18.00m
759,Portu,Attacking Midfield,£9.00m
762,Luca Sangalli,Attacking Midfield,£3.60m
765,Mikel Oyarzabal,Left Winger,£54.00m
768,Ander Barrenetxea,Left Winger,£9.00m
771,Adnan Januzaj,Right Winger,£13.50m
774,Willian José,Centre-Forward,£27.00m
777,Alexander Isak,Centre-Forward,£7.20m
780,Unai Simón,Goalkeeper,£5.40m
783,Iago Herrerín,Goalkeeper,£3.60m
786,Iñigo Martínez,Centre-Back,£28.80m
789,Yeray Álvarez,Centre-Back,£22.50m
792,Unai Núñez,Centre-Back,£13.50m
795,Yuri Berchiche,Left-Back,£18.00m
798,Mikel Balenziaga,Left-Back,£1.80m
801,Cristian Ganea,Left-Back,£900k
804,Óscar de Marcos,Right-Back,£5.40m
807,Ander Capa,Right-Back,£2.70m
810,Iñigo Lekue,Right-Back,£1.80m
813,Mikel San José,Defensive Midfield,£6.75m
816,Mikel Vesga,Defensive Midfield,£3.60m
819,Beñat Etxebarria,Central Midfield,£3.60m
822,Dani García,Central Midfield,£3.60m
825,Oihan Sancet,Central Midfield,£900k
828,Raúl García,Attacking Midfield,£6.75m
831,Unai López,Attacking Midfield,£1.35m
834,Iker Muniain,Left Winger,£13.50m
837,Iñigo Córdoba,Left Winger,£3.60m
840,Ibai Gómez,Right Winger,£3.60m
843,Gaizka Larrazabal,Right Winger,£2.25m
846,Iñaki Williams,Centre-Forward,£45.00m
849,Asier Villalibre,Centre-Forward,£1.80m
852,Aritz Aduriz,Centre-Forward,£900k
855,Kenan Kodro,Centre-Forward,£900k
858,David Soria,Goalkeeper,£13.50m
861,Leandro Chichizola,Goalkeeper,£900k
864,Filip Manojlovic,Goalkeeper,£360k
867,Djené,Centre-Back,£22.50m
870,Leandro Cabrera,Centre-Back,£4.50m
873,Bruno González,Centre-Back,£1.80m
876,Xabi Etxeita,Centre-Back,£1.80m
879,Marc Cucurella,Left-Back,£9.00m
882,Mathí­as Olivera,Left-Back,£2.70m
885,Vitorino Antunes,Left-Back,£2.25m
