Player,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Sebastian Prodl,WAT,EPL,D,1,57,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,11,0,3,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
Chang-hoon Kwon,FBG,BUND,M,3,55,1,2,1,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,3,1,0,1,18,21,0,1,5,2,7,0,0,1,1,1,2,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Remi Walter,NIC,FRAN,M,1,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,23,24,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Elseid Hysaj,NAP,SERI,D,3,54,1,2,1,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,1,1,1,3,20,32,0,1,5,0,5,0,0,0,0,0,1,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Edoardo Goldaniga,GEN,SERI,D,1,54,1,0,1,0,0,0,0,0,0,0,0,3,2,2,3,2,0,0,0,0,2,0,0,0,0,24,31,2,2,2,0,2,0,0,3,2,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,2,0,0
Dimitri Foulquier,WAT,EPL,D,2,50,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,1,0,0,0,0,0,1
Carles Alena,BAR,LIGA,M,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,32,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Ismail Koybasi,GRA,LIGA,D,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,6,15,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1
Leonardo Pavoletti,CAG,SERI,F,1,45,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12,15,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Albert-Nicolas Lottin,GDB,FRAN,M,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,21,22,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,3
Rogerio,SAS,SERI,D,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,13,18,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0
Antonio Rudiger,CHE,EPL,D,1,45,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,32,38,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
Gen Shoji,TFC,FRAN,D,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,35,41,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,1,0,0,0,0
Ernesto Torregrossa,BRS,SERI,F,1,45,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,9,0,1,1,2,7,0,0,1,0,0,0,0,0,0,0,1,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,1,0,0,2
Pedro Bigas,EIB,LIGA,D,1,45,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,3,2,0,0,15,21,1,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
Christoph Zimmermann,NOR,EPL,D,1,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0
Lino Tempelmann,FBG,BUND,M,1,34,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,6,10,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ralf Fahrmann,NOR,EPL,G,1,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Marie,DIJ,FRAN,M,1,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Coco,FCN,FRAN,M,1,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marc Pedraza,MRC,LIGA,M,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabri,MRC,LIGA,G,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Kouadio Kone,TFC,FRAN,M,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,3,2,2,24,31,0,0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
Billy Sharp,SHU,EPL,F,7,178,0,7,0,0,0,1,1,0,0,0,0,2,2,1,1,0,6,3,6,0,0,2,2,8,4,41,58,0,7,15,3,16,0,0,2,2,1,0,0,0,0,0,8,0,92,9,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,1,1,1,3
Kenedy,GET,LIGA,F/M,6,166,0,6,0,1,0,0,0,2,0,2,0,6,2,4,7,3,3,2,1,0,0,2,1,4,4,30,43,3,2,14,9,17,0,0,3,1,0,3,1,0,0,0,6,0,98,6,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,13
Josh Maja,GDB,FRAN,F,9,155,0,9,0,0,0,0,1,0,0,0,0,7,5,0,0,0,5,1,5,0,1,1,1,5,4,47,55,0,1,9,1,7,0,0,4,3,1,3,2,0,0,0,5,0,90,8,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,1,1,1,0,1,1,1,3
Aleksandar Trajkovski,MRC,LIGA,F,7,147,0,7,0,0,0,0,0,0,0,0,0,3,0,2,13,4,5,0,4,1,0,2,0,4,4,41,54,2,0,8,2,8,0,0,3,0,0,0,0,0,0,0,3,0,97,8,0,0,0,0,0,0,7,7,3,0,0,0,3,0,0,1,1,6,0,0,0,0,0,3
Aritz Aduriz,ATH,LIGA,F,10,138,0,10,0,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,6,1,25,38,0,13,2,0,17,0,0,2,2,1,0,0,0,0,0,2,0,57,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0
Ahmed Kutucu,SKE,BUND,F,7,130,0,7,0,1,0,0,1,1,0,1,0,5,2,1,1,0,1,0,0,0,0,2,1,4,2,21,30,0,4,4,6,13,0,0,1,1,1,4,1,0,0,0,1,0,66,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,9
Manu Vallejo,VAL,LIGA,F/M,4,112,0,4,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,2,0,0,2,2,3,0,11,19,1,1,3,1,4,0,0,2,0,0,0,0,0,0,0,5,0,43,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
Mason Greenwood,MUN,EPL,F,8,112,0,8,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,0,0,0,1,1,1,1,35,40,0,1,4,1,4,0,0,4,2,0,2,1,0,0,0,4,0,63,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1
Irvin Cardona,BRE,FRAN,F,5,109,0,5,0,1,0,0,1,0,0,0,0,5,1,0,3,0,1,0,1,0,0,2,0,7,1,21,36,0,0,4,1,4,0,0,5,1,1,0,0,0,0,0,2,0,61,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2
Souleymane Camara,MTP,FRAN,F,7,108,0,7,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,2,0,0,0,0,2,3,17,24,0,8,3,0,11,0,0,2,2,0,0,0,0,0,0,2,0,38,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
Sebastian Polter,UB,BUND,F,6,105,0,6,0,0,0,1,2,1,0,1,0,7,2,1,1,0,2,2,1,0,0,0,0,4,4,14,21,0,3,4,2,9,0,0,6,2,2,1,0,0,0,0,3,0,47,9,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,3
Alex Alegria,MRC,LIGA,F,6,103,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,4,21,32,0,10,4,0,14,0,0,0,0,0,0,0,0,0,0,1,0,50,6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2
Francisco Portillo,GET,LIGA,M,6,93,0,6,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2,0,0,3,0,3,1,37,47,0,0,9,3,7,0,0,1,0,0,1,0,0,0,0,2,0,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4
Lars Stindl,BM,BUND,F,3,92,0,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1,1,0,1,1,1,4,0,33,40,0,1,3,2,4,0,0,0,0,0,1,0,0,0,0,3,0,60,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,0,0,1,0,0,5
Hyun-Jun Suk,SDR,FRAN,F,6,92,0,6,0,1,0,0,1,0,0,0,0,6,2,1,0,0,2,0,2,0,0,0,0,7,1,13,23,0,13,2,1,15,0,0,4,1,1,2,1,0,0,0,0,0,41,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,3
Hervias,REV,LIGA,M,4,91,0,4,0,0,0,0,1,0,0,0,0,6,3,1,7,0,2,0,2,0,0,1,0,2,1,31,35,0,1,8,1,4,0,0,1,0,0,5,3,1,0,0,3,0,61,3,0,0,0,0,0,0,2,1,1,3,2,1,4,0,0,0,0,1,0,0,0,0,0,3
Andy Carroll,NEW,EPL,F,5,90,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,4,19,28,0,14,2,1,19,0,0,1,0,0,0,0,0,0,0,4,0,56,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0,0,1,0,0,1
Eduard Lowen,HB,BUND,M,4,89,0,4,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,49,57,0,1,4,6,7,0,0,0,0,0,3,0,0,0,0,2,0,76,1,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,2,2,4,0,0,0,0,0,6
