ID,Full Name,Team,Position,Total Points,Points Per Game,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index,
549,Aaron Ramsdale,91,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
585,Connor Mahoney,91,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
588,Matt Butcher,91,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
602,Kyle Taylor,91,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
584,Emerson Hyndman,91,MF,1,1,58,0,0,0,1,0,0,0,0,0,0,0,6,5,12.5,0,1.8,    
570,Jack Simpson,91,DF,1,1,71,0,0,0,2,0,0,0,0,0,0,0,10,6.2,0,0,0.6,    
36,Tyrone Mings,91,DF,3,0.8,201,0,0,0,5,0,0,0,1,0,0,0,40,46.6,14.8,10,7.2,    
49,Benik Afobe,91,FW,24,1.4,534,0,1,0,12,0,0,0,0,0,0,0,73,33.8,62.6,219,31.3,    
50,Lys Mousset,91,FW,36,1.6,581,2,0,1,16,0,0,0,1,0,0,3,106,120.4,69.5,252,43.9,    
39,Harry Arter,91,MF,27,2.1,959,1,0,3,13,0,0,0,4,0,0,0,156,146,76.1,69,29.2,    
40,Marc Pugh,91,MF,32,1.6,974,0,0,5,17,0,0,0,2,0,0,0,97,99.2,195.5,224,51.6,    
52,Jermain Defoe,91,FW,60,2.5,1075,4,2,2,21,0,0,0,1,0,0,5,191,209.4,144.9,539,88.9,    
42,Junior Stanislas,91,MF,75,3.9,1285,5,3,2,22,0,0,0,1,0,0,7,285,394.8,377.2,483,125.1,    
41,Andrew Surman,91,MF,82,3.3,1851,2,5,5,29,0,0,0,2,0,0,9,363,458,261.1,121,84,    
43,Dan Gosling,91,MF,59,2.1,1941,2,1,1,41,0,0,0,8,0,0,4,254,396.4,262.2,274,93.3,    
48,Callum Wilson,91,FW,102,3.6,1981,8,2,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799,147.5,    
45,Jordon Ibe,91,MF,85,2.7,1988,2,6,4,33,0,0,0,1,0,0,5,289,362,602.7,610,157.3,    
47,Ryan Fraser,91,MF,97,3.7,2003,5,3,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413,155,    
35,Adam Smith,91,DF,56,2.1,2067,1,3,2,38,0,0,0,6,0,0,3,376,455,345.5,144,94.5,    
46,Lewis Cook,91,MF,58,2,2234,0,2,3,42,0,0,0,5,0,0,0,337,456.4,423.3,126,100.7,    
51,Joshua King,91,FW,110,3.3,2450,8,4,7,38,0,0,0,3,0,0,10,381,577,556.7,902,203.7,    
32,Simon Francis,91,DF,56,1.8,2708,0,1,4,47,0,0,0,8,1,0,3,491,726.8,418.4,163,131,    
33,Steve Cook,91,DF,83,2.4,2764,2,1,5,53,1,0,0,5,0,0,9,495,870,65.6,271,120.6,    
34,Charlie Daniels,91,DF,94,2.7,3001,1,3,6,50,0,0,0,0,0,0,4,587,582.2,479.7,196,125.9,    
38,Nathan Aké,91,DF,102,2.7,3352,2,3,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287,133.5,    
29,Asmir Begovic,91,GK,112,2.9,3420,0,0,6,61,0,1,0,2,0,111,6,631,790.8,20,0,80.8,    
333,Marc Muniesa,110,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
339,Glenn Whelan,110,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
343,Giannelli Imbula,110,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
550,Harry Souttar,110,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
569,Jakob Haugaard,110,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
562,Julien Ngoy,110,FW,1,1,19,0,0,0,2,0,0,0,0,0,0,0,4,1,1.8,0,0.3,    
344,Bojan Krkic Perez,110,MF,2,2,71,0,0,0,1,0,0,0,0,0,0,0,5,0,13.3,6,1.9,    
628,Tyrese Campbell,110,FW,4,1,75,0,0,0,2,0,0,0,0,0,0,0,11,13,2.6,28,4.4,    
637,Lasse Sorenson,110,MF,5,5,75,0,1,0,1,0,0,0,0,0,0,0,27,29.6,25.4,0,5.5,    
590,Stephen Ireland,110,MF,4,1,128,0,0,0,4,0,0,0,1,0,0,0,13,14.4,17.8,11,4.3,    
336,Josh Tymon,110,DF,0,0,162,0,0,0,9,0,0,0,0,0,0,0,18,20.4,4.9,0,2.5,    
341,Ibrahim Afellay,110,MF,6,1,162,0,0,0,9,0,0,0,1,0,0,0,29,12.6,5.5,0,1.8,    
329,Lee Grant,110,GK,5,1.7,270,0,0,0,7,0,0,0,0,0,8,0,44,64.2,0,0,6.3,    
599,Konstantinos Stafylidis,110,DF,6,1.2,334,0,0,0,6,0,0,0,0,0,0,0,38,68.2,23.8,18,11,    
338,Charlie Adam,110,MF,10,0.9,405,0,0,2,9,0,0,1,2,1,0,0,57,73.2,114.4,84,27.1,    
556,Thomas Edwards,110,DF,6,1,481,0,0,0,15,0,0,0,0,0,0,0,81,93.4,23,10,12.7,    
349,Saido Berahino,110,FW,20,1.3,483,0,1,2,13,0,0,1,0,0,0,0,42,40.4,51.8,149,23.7,    
335,Glen Johnson,110,DF,5,0.6,546,0,0,0,14,0,0,0,3,0,0,0,70,86.6,56.8,41,18.4,    
512,Jesé Rodríguez Ruiz,110,MF,31,2.4,609,1,1,1,17,0,0,0,0,0,0,2,93,110.4,127.7,171,40.8,    
619,Papa Alioune Ndiaye,110,MF,41,3.2,1138,2,1,2,17,0,0,0,5,0,0,5,159,298.4,116.7,133,55,    
345,Ramadan Sobhi,110,MF,51,2.1,1227,2,1,2,30,0,0,0,2,0,0,2,226,237.6,237.9,206,68.1,    
513,Bruno Martins Indi,110,DF,20,1.2,1242,0,0,1,28,0,0,0,3,0,0,0,171,241.8,48.3,60,35.1,    
594,Moritz Bauer,110,DF,41,2.7,1307,0,0,5,18,0,0,0,4,0,0,1,201,181.8,189.9,67,44,    
383,Kevin Wimmer,110,DF,19,1.1,1321,0,0,1,32,0,0,0,5,0,0,1,196,297,38.8,28,36.5,    
331,Geoff Cameron,110,DF,33,1.6,1522,0,0,2,30,0,0,0,2,0,0,0,220,265.4,77.2,46,39,    
347,Peter Crouch,110,FW,73,2.4,1551,5,2,2,27,0,0,0,4,0,0,6,225,289.2,321.2,390,99.9,    
346,Darren Fletcher,110,MF,67,2.5,2217,1,1,4,49,0,0,0,0,0,0,3,337,346.2,359.8,72,77.8,    
497,Eric Maxim Choupo-Moting,110,MF,107,3.6,2241,5,5,5,45,0,0,0,3,0,0,9,341,505.6,327.5,851,168.1,    
330,Ryan Shawcross,110,DF,67,2.5,2371,1,1,5,40,1,0,0,2,0,0,2,356,656,26.5,276,96,    
348,Mame Biram Diouf,110,FW,99,2.8,2592,6,3,8,49,0,0,0,6,0,0,8,350,482,285.4,832,159.6,    
332,Erik Pieters,110,DF,71,2.3,2717,0,1,7,50,0,0,0,5,0,0,1,456,567.4,247.2,58,87.3,    
99,Kurt Zouma,110,DF,87,2.6,2887,1,0,7,50,0,0,0,1,0,0,5,554,814.2,91.8,235,114.4,    
342,Xherdan Shaqiri,110,MF,155,4.3,3039,8,9,6,58,0,0,1,5,0,0,19,554,718,1151.6,676,255.2,    
337,Joe Allen,110,MF,109,3,3139,2,6,6,55,0,0,0,8,0,0,12,527,691.8,512.3,339,154.3,    
328,Jack Butland,110,GK,125,3.6,3150,0,0,6,61,1,0,0,0,0,145,16,687,1013.4,10,0,102.5,    
