Player,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Juanpe,68,5833,65,3,2,15,0,0,5,1,0,0,1,44,17,110,8,0,12,1,11,0,34,96,55,86,17,2287,2883,0,169,248,14,293,0,0,39,15,5,5,2,0,0,1,6,0,3623,80,0,0,0,0,0,0,0,0,5,1,0,0,99,15,1,265,265,272,0,0,3,5,1,16
Juanpi,52,2748,29,23,19,7,1,1,4,4,1,1,3,72,19,22,78,15,53,6,37,12,1,56,38,36,73,847,1058,4,17,161,56,202,0,0,25,13,4,47,6,0,0,0,111,0,1794,61,1,1,0,0,19,3,54,42,17,10,1,0,43,1,0,8,8,49,2,0,3,2,2,119
Jules Iloki,49,2642,29,20,24,3,0,0,1,4,1,4,0,31,10,25,137,37,41,5,34,3,0,34,23,35,21,619,826,34,15,118,16,86,0,0,21,10,1,10,0,0,0,0,27,0,1268,64,0,0,0,0,1,0,7,7,20,1,0,0,31,3,0,14,14,14,0,0,10,7,1,29
Jules Keita,20,600,3,17,1,3,0,0,2,1,0,1,0,19,5,5,1,0,10,2,8,1,0,14,7,15,10,125,160,0,2,23,25,51,0,0,12,3,2,7,2,0,0,0,15,0,343,53,0,0,0,0,0,0,4,0,9,0,0,0,10,0,0,1,1,7,1,0,4,2,2,57
Jules Kounde,62,5412,59,3,0,6,0,0,2,1,1,1,0,26,5,69,8,1,14,1,13,0,36,77,50,37,30,2518,3068,1,178,354,17,297,3,4,20,4,2,6,1,0,0,0,14,0,3854,40,0,0,0,0,0,0,0,0,6,0,0,0,67,17,3,297,297,200,0,1,1,4,2,24
Julian Baumgartlinger,75,5233,61,14,21,7,0,0,1,3,0,2,1,42,6,97,6,0,41,6,37,1,12,169,119,58,72,3452,3867,0,76,365,35,341,1,3,21,5,0,21,1,1,0,0,54,1,4666,59,0,0,0,0,0,0,0,0,8,0,0,0,76,11,0,54,54,189,4,0,1,1,0,46
Julian Brandt,110,7896,86,24,42,0,0,0,21,22,4,19,3,169,70,65,324,76,206,38,151,32,2,86,62,40,74,3472,4355,26,79,472,187,424,1,2,103,50,19,66,20,2,2,1,153,0,6238,376,0,0,0,0,39,8,197,175,80,5,2,0,127,9,0,28,28,166,15,0,8,17,15,384
Julian Chabot,3,205,2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,6,1,83,102,0,9,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,7,3,0,0,0,0,0,0
Julian Draxler,94,5997,67,27,35,12,0,0,11,15,7,13,2,110,52,66,120,45,116,22,76,24,4,82,52,71,48,3521,3944,8,57,365,151,333,0,1,81,38,10,29,14,1,0,1,118,0,5039,248,0,0,0,0,10,3,110,73,42,1,1,0,67,16,0,15,15,148,16,1,10,12,7,217
Julian Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Gunther-Schmidt,4,42,0,4,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,3,0,2,11,14,0,1,2,1,7,0,0,3,1,0,0,0,0,0,0,2,0,39,6,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4
Julian Korb,52,4102,46,6,10,8,0,0,1,1,2,0,1,14,4,69,97,25,40,3,37,1,7,105,77,66,27,1191,1682,25,28,179,12,169,1,0,10,4,1,4,0,0,0,0,18,0,2849,30,0,0,0,0,0,0,0,0,12,0,0,0,79,9,0,107,105,84,1,0,3,1,1,27
Julian Palmieri,37,2642,29,8,5,7,1,2,1,2,1,1,1,7,2,85,80,18,25,4,21,2,3,74,46,46,33,951,1175,18,25,197,42,174,0,1,4,1,0,3,1,1,0,0,29,0,1951,10,0,0,0,0,2,0,1,0,8,0,0,0,49,5,0,45,44,50,0,0,0,1,0,55
Julian Pollersbeck,10,900,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,496,0,0,101,0,1,1,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,5,5,79,0,0,0,0,0,0
Julian Ryerson,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Schieber,32,812,6,26,4,5,0,0,4,1,0,0,1,21,10,6,3,0,5,3,4,0,0,9,4,13,8,169,271,0,40,20,7,62,0,0,15,8,4,6,2,0,0,0,13,0,433,41,0,0,0,0,0,0,0,0,7,1,0,0,21,0,0,13,13,4,0,0,6,2,2,27
Julian Schuster,31,2156,25,6,8,4,0,0,0,0,2,0,0,15,1,41,80,20,21,1,7,14,13,29,21,19,19,946,1157,2,34,78,5,81,0,0,0,0,0,15,1,0,0,0,11,2,1497,4,0,0,0,0,18,7,58,52,11,8,1,0,41,6,2,78,78,66,0,0,0,0,0,7
Julian Speroni,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,326,0,3,93,1,4,1,1,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,6,6,97,0,0,0,0,0,1
Julian Weigl,81,6414,70,11,11,12,0,0,2,0,1,0,0,22,6,127,10,1,20,1,20,0,22,179,116,92,130,4469,4977,1,113,381,45,458,1,5,5,2,0,17,4,2,0,0,41,0,5890,14,0,0,0,0,0,0,0,0,6,0,0,0,86,18,2,132,131,282,3,0,0,0,0,61
Julien Cetout,28,2335,27,1,4,3,0,0,1,2,1,2,0,18,4,51,56,11,24,2,18,4,11,41,25,18,22,742,968,7,19,152,8,89,0,0,11,1,1,7,3,0,0,0,13,0,1483,32,0,0,0,0,5,1,10,9,10,1,0,0,39,8,0,48,47,69,1,0,0,0,0,15
Julien Da Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien De Sart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien Fabri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien Faussurier,11,990,11,0,0,0,0,0,2,2,0,2,0,6,4,16,26,9,13,2,10,0,6,14,8,5,7,309,406,9,10,58,2,33,0,1,6,4,2,0,0,0,0,0,6,0,674,17,0,0,0,0,0,0,1,0,5,0,0,0,13,5,0,21,21,30,1,0,1,0,0,7
Julien Feret,72,6188,71,1,15,4,0,0,2,4,0,2,2,52,8,112,265,87,141,15,80,56,14,100,67,38,70,2687,3383,15,159,606,73,398,0,2,12,4,2,40,4,0,0,1,86,0,4603,50,0,0,0,0,43,11,163,158,30,1,0,0,109,17,1,94,93,224,6,0,0,1,1,115
Julien Ielsch,11,615,7,4,3,4,0,0,0,0,0,0,0,5,0,11,5,3,6,0,6,0,3,28,18,14,5,138,216,3,3,57,5,41,0,2,3,0,0,2,0,0,0,0,12,0,344,10,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,11,11,6,0,0,0,0,0,6
Julien Ngoy,6,63,0,6,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,1,0,0,3,2,1,1,15,16,0,0,0,3,7,0,0,2,0,0,0,0,0,0,0,3,0,37,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
Julien Serrano,7,396,4,3,0,2,0,0,0,0,0,0,0,2,0,7,22,1,4,0,4,0,0,7,6,4,5,124,168,1,6,18,1,18,0,0,1,0,0,1,0,0,0,0,4,0,285,3,0,0,0,0,0,0,0,0,4,0,0,0,3,2,0,11,11,4,0,0,1,1,0,1
Julien Vercauteren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Alonso Sosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Gracia Gallardo,2,21,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,17,21,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Julio Tavares,106,8432,94,12,16,10,0,0,29,10,0,9,1,186,83,42,48,8,96,10,85,1,13,43,26,110,125,1324,2197,8,640,205,37,827,0,1,163,74,28,23,9,1,0,1,110,0,3463,440,7,7,0,0,0,0,0,0,49,1,0,0,140,17,1,152,149,22,0,0,59,33,25,71
Julio Villalba,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Kade,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juninho Bacuna,21,1415,16,5,7,4,0,0,1,0,0,0,0,19,8,24,34,9,18,3,13,5,1,46,30,33,22,540,715,3,17,121,25,110,1,0,2,1,1,17,7,0,0,0,18,0,1061,10,0,0,0,0,3,0,16,15,6,2,1,0,37,0,1,11,11,58,1,0,1,0,1,49
Junior,42,3361,39,3,4,12,0,0,6,6,0,6,0,33,12,46,48,10,31,5,24,1,5,72,47,56,45,1375,1651,10,59,168,37,211,1,1,27,11,6,6,1,0,0,0,23,0,2496,124,0,0,0,0,0,0,0,0,23,0,0,0,41,17,0,64,64,38,1,0,4,5,4,65
Junior Alonso,55,4269,46,9,4,6,0,0,2,2,0,2,0,22,6,87,19,3,24,1,20,2,21,84,50,52,14,2198,2712,3,149,323,18,263,2,0,17,5,1,5,1,1,1,0,19,2,3413,37,0,0,0,0,0,0,0,0,5,0,0,0,74,11,0,228,228,206,1,0,2,2,0,25
Junior Caicara,3,107,1,2,0,1,0,0,0,0,0,0,0,0,0,4,3,1,1,0,1,0,0,5,3,3,0,41,55,1,3,9,0,8,0,0,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2,0,0,2,0,0,1
Junior Diaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Sambia,61,2594,24,37,13,6,0,0,2,5,1,4,1,65,24,25,161,55,57,9,23,28,2,35,19,46,61,871,1054,13,43,149,60,196,0,0,16,5,1,49,19,1,1,0,70,0,1856,52,0,0,0,0,24,9,89,82,27,20,9,1,25,6,0,16,16,51,1,0,7,5,0,103
Junior Stanislas,63,3797,46,17,32,3,0,0,14,10,2,7,3,121,48,17,178,35,61,14,39,12,11,42,22,20,19,1253,1600,8,35,208,46,142,0,0,47,22,12,74,26,2,0,0,38,0,2376,119,4,4,0,0,29,6,94,73,42,30,11,1,76,2,0,40,40,42,8,0,9,3,10,87
Junior Tallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Tavares,3,184,2,1,1,1,0,0,0,0,0,0,0,1,1,2,9,2,2,1,2,0,0,2,1,4,4,169,182,2,2,14,3,11,0,0,0,0,0,1,1,0,0,0,5,0,224,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,0,0,0,0,0,3
Jurado,60,3965,47,13,23,2,0,0,3,7,1,6,1,48,14,36,81,21,45,5,32,6,2,57,47,15,81,1517,1833,14,8,315,80,226,1,0,21,7,2,27,7,1,0,0,70,0,2537,65,0,0,0,0,6,3,21,16,19,6,1,0,52,7,1,10,10,111,0,0,0,4,1,130
