Player,POS,Position,ValMillions
Quini,Right Back,Defender,0.63
Maxime Gonalons,Defensive Midfield,Midfielder,3.6
Yangel Herrera,Defensive Midfield,Midfielder,1.8
Angel Montoro,Central Midfield,Midfielder,1.35
Yan Brice,Central Midfield,Midfielder,0.9
Ramon Azeez,Central Midfield,Midfielder,0.72
Fede Vico,Attacking Midfield,Midfielder,1.35
Darwin Machis,Left Winger,Midfielder,2.7
Alvaro Vadillo,Right Winger,Midfielder,1.8
Antonio Puertas,Right Winger,Midfielder,1.8
Carlos Fernandez,Centre Forward,Striker,1.8
Roberto Soldado,Centre Forward,Striker,0.9
Adrian Ramos,Centre Forward,Striker,0.9
Ramiro Funes Mori,Centre Back,Defender,7.2
Pau Torres,Centre Back,Defender,5.4
Raul Albiol,Centre Back,Defender,4.5
Alberto Moreno,Left Back,Defender,8.1
Xavi Quintilla,Left Back,Defender,1.8
Mario Gaspar,Right Back,Defender,9.0
Ruben Pena,Right Back,Defender,7.2
Andre Zambo Anguissa,Defensive Midfield,Midfielder,22.5
Santiago Caseres,Defensive Midfield,Midfielder,9.0
Bruno Soriano,Defensive Midfield,Midfielder,0.72
Manu Trigueros,Central Midfield,Midfielder,13.5
Vicente Iborra,Central Midfield,Midfielder,8.1
Santi Cazorla,Central Midfield,Midfielder,3.6
Manu Morlanes,Central Midfield,Midfielder,2.25
Javi Ontiveros,Left Winger,Midfielder,6.75
Moi Gomez,Left Winger,Midfielder,4.5
Samu Chukwueze,Right Winger,Midfielder,27.0
Leo Suarez,Right Winger,Midfielder,0.9
Gerard Moreno,Centre Forward,Striker,15.75
Karl Toko Ekambi,Centre Forward,Striker,15.75
Carlos Bacca,Centre Forward,Striker,4.5
Diego Llorente,Centre Back,Defender,22.5
Aritz Elustondo,Centre Back,Defender,9.0
Modibo Sagnan,Centre Back,Defender,4.05
Robin Le Normand,Centre Back,Defender,3.6
Nacho Monreal,Left Back,Defender,7.2
Aihen Munoz,Left Back,Defender,6.75
Joseba Zaldua,Right Back,Defender,9.0
Andoni Gorosabel,Right Back,Defender,1.35
Igor Zubeldia,Defensive Midfield,Midfielder,27.0
Asier Illarramendi,Defensive Midfield,Midfielder,22.5
Mikel Merino,Central Midfield,Midfielder,13.5
Ruben Pardo,Central Midfield,Midfielder,3.6
Ander Guevara,Central Midfield,Midfielder,2.25
David Zurutuza,Central Midfield,Midfielder,2.25
Martin Odegaard,Attacking Midfield,Midfielder,18.0
Portu,Attacking Midfield,Midfielder,9.0
Luca Sangalli,Attacking Midfield,Midfielder,3.6
Mikel Oyarzabal,Left Winger,Midfielder,54.0
Ander Barrenetxea,Left Winger,Midfielder,9.0
Adnan Januzaj,Right Winger,Midfielder,13.5
Willian Jose,Centre Forward,Striker,27.0
Alexander Isak,Centre Forward,Striker,7.2
Inigo Martinez,Centre Back,Defender,28.8
Yeray Alvarez,Centre Back,Defender,22.5
Unai Nunez,Centre Back,Defender,13.5
Yuri Berchiche,Left Back,Defender,18.0
Mikel Balenziaga,Left Back,Defender,1.8
Cristian Ganea,Left Back,Defender,0.9
Oscar de Marcos,Right Back,Defender,5.4
Ander Capa,Right Back,Defender,2.7
Inigo Lekue,Right Back,Defender,1.8
Mikel San Jose,Defensive Midfield,Midfielder,6.75
Mikel Vesga,Defensive Midfield,Midfielder,3.6
Benat Etxebarria,Central Midfield,Midfielder,3.6
Dani Garcia,Central Midfield,Midfielder,3.6
Oihan Sancet,Central Midfield,Midfielder,0.9
Raul Garcia,Attacking Midfield,Midfielder,6.75
Unai Lopez,Attacking Midfield,Midfielder,1.35
Iker Muniain,Left Winger,Midfielder,13.5
Inigo Cordoba,Left Winger,Midfielder,3.6
Ibai Gomez,Right Winger,Midfielder,3.6
Gaizka Larrazabal,Right Winger,Midfielder,2.25
Inaki Williams,Centre Forward,Striker,45.0
Asier Villalibre,Centre Forward,Striker,1.8
Aritz Aduriz,Centre Forward,Striker,0.9
Kenan Kodro,Centre Forward,Striker,0.9
Djene,Centre Back,Defender,22.5
Leandro Cabrera,Centre Back,Defender,4.5
Bruno Gonzalez,Centre Back,Defender,1.8
Xabi Etxeita,Centre Back,Defender,1.8
Marc Cucurella,Left Back,Defender,9.0
Mathias Olivera,Left Back,Defender,2.7
Vitorino Antunes,Left Back,Defender,2.25
Raul Garcia,Left Back,Defender,0.9
Damian Suarez,Right Back,Defender,3.15
Allan Nyom,Right Back,Defender,2.7
David Timor,Defensive Midfield,Midfielder,1.35
Markel Bergara,Defensive Midfield,Midfielder,0.72
Mauro Arambarri,Central Midfield,Midfielder,13.5
Nemanja Maksimovic,Central Midfield,Midfielder,13.5
Kenedy,Left Midfield,Midfielder,9.0
Faycal Fajr,Attacking Midfield,Midfielder,4.05
Francisco Portillo,Attacking Midfield,Midfielder,3.6
Amath Ndiaye,Left Winger,Midfielder,3.6
Jason,Right Winger,Midfielder,4.5
