Player,POS,Position,ValMillions
Andrea Adorante,Centre Forward,Striker,0.45
Matthijs de Ligt,Centre Back,Defender,67.5
Leonardo Bonucci,Centre Back,Defender,25.2
Daniele Rugani,Centre Back,Defender,19.8
Merih Demiral,Centre Back,Defender,13.5
Giorgio Chiellini,Centre Back,Defender,6.75
Alex Sandro,Left Back,Defender,40.5
Danilo,Right Back,Defender,18.0
Mattia De Sciglio,Right Back,Defender,12.6
Emre Can,Defensive Midfield,Midfielder,29.7
Miralem Pjanic,Central Midfield,Midfielder,63.0
Aaron Ramsey,Central Midfield,Midfielder,36.0
Adrien Rabiot,Central Midfield,Midfielder,31.5
Rodrigo Bentancur,Central Midfield,Midfielder,31.5
Blaise Matuidi,Central Midfield,Midfielder,19.8
Sami Khedira,Central Midfield,Midfielder,7.65
Cristiano Ronaldo,Left Winger,Midfielder,81.0
Marko Pjaca,Left Winger,Midfielder,9.0
Federico Bernardeschi,Right Winger,Midfielder,40.5
Douglas Costa,Right Winger,Midfielder,34.2
Juan Cuadrado,Right Winger,Midfielder,16.2
Paulo Dybala,Second Striker,Striker,67.5
Gonzalo Higuain,Centre Forward,Striker,31.5
Mario Mandzukic,Centre Forward,Striker,9.0
Sebastian Walukiewicz,Centre Back,Defender,3.6
Luca Ceppitelli,Centre Back,Defender,2.25
Ragnar Klavan,Centre Back,Defender,1.35
Fabio Pisacane,Centre Back,Defender,0.63
Luca Pellegrini,Left Back,Defender,9.0
Charalampos Lykogiannis,Left Back,Defender,1.35
Paolo Farago,Right Back,Defender,4.5
Federico Mattiello,Right Back,Defender,2.25
Fabrizio Cacciatore,Right Back,Defender,0.72
Simone Pinna,Right Back,Defender,0.158
Christian Oliva,Defensive Midfield,Midfielder,4.5
Luca Cigarini,Defensive Midfield,Midfielder,0.72
Nahitan Nandez,Central Midfield,Midfielder,19.8
Radja Nainggolan,Central Midfield,Midfielder,18.0
Marko Rog,Central Midfield,Midfielder,9.9
Lucas Castro,Central Midfield,Midfielder,5.4
Artur Ionita,Central Midfield,Midfielder,4.05
Alessandro Deiola,Central Midfield,Midfielder,1.08
Valter Birsa,Attacking Midfield,Midfielder,1.8
Joao Pedro,Second Striker,Striker,7.2
Daniele Ragatzu,Second Striker,Striker,0.36
Giovanni Simeone,Centre Forward,Striker,15.3
Leonardo Pavoletti,Centre Forward,Striker,10.8
Alberto Cerri,Centre Forward,Striker,5.4
Milan Skriniar,Centre Back,Defender,54.0
Stefan de Vrij,Centre Back,Defender,45.0
Diego Godin,Centre Back,Defender,18.0
Alessandro Bastoni,Centre Back,Defender,13.5
Andrea Ranocchia,Centre Back,Defender,2.7
Lorenzo Pirola,Centre Back,Defender,0.36
Federico Dimarco,Left Back,Defender,4.5
Danilo DAmbrosio,Right Back,Defender,11.7
Marcelo Brozovic,Defensive Midfield,Midfielder,45.0
Nicolo Barella,Central Midfield,Midfielder,32.4
Stefano Sensi,Central Midfield,Midfielder,27.0
Matias Vecino,Central Midfield,Midfielder,20.7
Roberto Gagliardini,Central Midfield,Midfielder,13.5
Lucien Agoume,Central Midfield,Midfielder,3.15
Borja Valero,Central Midfield,Midfielder,2.25
Valentino Lazaro,Right Midfield,Midfielder,17.1
Antonio Candreva,Right Midfield,Midfielder,6.3
Kwadwo Asamoah,Left Midfield,Midfielder,11.7
Cristiano Biraghi,Left Midfield,Midfielder,9.0
Alexis Sanchez,Left Winger,Midfielder,31.5
Matteo Politano,Right Winger,Midfielder,27.0
Romelu Lukaku,Centre Forward,Striker,67.5
Lautaro Martinez,Centre Forward,Striker,36.0
Sebastiano Esposito,Centre Forward,Striker,4.5
Gianluca Mancini,Centre Back,Defender,19.8
Chris Smalling,Centre Back,Defender,18.0
Juan Jesus,Centre Back,Defender,8.1
Federico Fazio,Centre Back,Defender,5.4
Mert Cetin,Centre Back,Defender,1.8
Leonardo Spinazzola,Left Back,Defender,13.5
Aleksandar Kolarov,Left Back,Defender,7.2
Davide Santon,Left Back,Defender,4.5
Alessandro Florenzi,Right Back,Defender,22.5
Davide Zappacosta,Right Back,Defender,13.5
Amadou Diawara,Defensive Midfield,Midfielder,13.5
Lorenzo Pellegrini,Central Midfield,Midfielder,36.0
Bryan Cristante,Central Midfield,Midfielder,22.5
Jordan Veretout,Central Midfield,Midfielder,18.0
Nicolo Zaniolo,Attacking Midfield,Midfielder,36.0
Henrikh Mkhitaryan,Attacking Midfield,Midfielder,22.5
Javier Pastore,Attacking Midfield,Midfielder,13.5
Justin Kluivert,Left Winger,Midfielder,20.7
Diego Perotti,Left Winger,Midfielder,10.8
Cengiz Under,Right Winger,Midfielder,31.5
Mirko Antonucci,Right Winger,Midfielder,0.45
Edin Dzeko,Centre Forward,Striker,12.6
Nikola Kalinic,Centre Forward,Striker,9.0
Kalidou Koulibaly,Centre Back,Defender,67.5
Konstantinos Manolas,Centre Back,Defender,40.5
Nikola Maksimovic,Centre Back,Defender,15.3
Lorenzo Tonelli,Centre Back,Defender,6.3
Sebastiano Luperto,Centre Back,Defender,3.6
Faouzi Ghoulam,Left Back,Defender,20.7
Mario Rui,Left Back,Defender,13.5
Elseid Hysaj,Right Back,Defender,16.2
Kevin Malcuit,Right Back,Defender,14.4
Giovanni Di Lorenzo,Right Back,Defender,13.5
Allan,Central Midfield,Midfielder,54.0
Fabian Ruiz,Central Midfield,Midfielder,54.0
Piotr Zielinski,Central Midfield,Midfielder,36.0
Eljif Elmas,Central Midfield,Midfielder,15.3
Gianluca Gaetano,Attacking Midfield,Midfielder,0.72
Lorenzo Insigne,Left Winger,Midfielder,58.5
Hirving Lozano,Left Winger,Midfielder,36.0
Amin Younes,Left Winger,Midfielder,7.2
Leandrinho,Left Winger,Midfielder,0.45
Jose Callejon,Right Winger,Midfielder,18.0
Amato Ciciretti,Right Winger,Midfielder,1.35
Arkadiusz Milik,Centre Forward,Striker,36.0
Dries Mertens,Centre Forward,Striker,22.5
Fernando Llorente,Centre Forward,Striker,4.5
Rodrigo Becao,Centre Back,Defender,6.3
Samir,Centre Back,Defender,5.4
William Troost Ekong,Centre Back,Defender,3.6
Bram Nuytinck,Centre Back,Defender,3.15
Nicholas Opoku,Centre Back,Defender,0.9
Sebastien De Maio,Centre Back,Defender,0.9
Francisco Sierralta,Centre Back,Defender,0.36
Jens Stryger Larsen,Right Back,Defender,3.6
Hidde ter Avest,Right Back,Defender,1.8
Rolando Mandragora,Defensive Midfield,Midfielder,13.5
Walace,Defensive Midfield,Midfielder,7.65
Mato Jajalo,Defensive Midfield,Midfielder,0.9
Rodrigo de Paul,Central Midfield,Midfielder,22.5
Seko Fofana,Central Midfield,Midfielder,11.7
Antonin Barak,Central Midfield,Midfielder,10.8
Ken Sema,Left Midfield,Midfielder,3.15
Ignacio Pussetto,Right Winger,Midfielder,9.0
Kevin Lasagna,Centre Forward,Striker,6.75
Stefano Okaka,Centre Forward,Striker,4.5
Ilija Nestorovski,Centre Forward,Striker,3.6
Lukasz Teodorczyk,Centre Forward,Striker,2.7
Emanuele Rovini,Centre Forward,Striker,0.225
Amir Rrahmani,Centre Back,Defender,2.7
Marash Kumbulla,Centre Back,Defender,2.7
Pawel Dawidowicz,Centre Back,Defender,1.8
Salvatore Bocchetti,Centre Back,Defender,1.35
Koray Gunter,Centre Back,Defender,0.9
Alan Empereur,Centre Back,Defender,0.45
Alessandro Crescenzi,Left Back,Defender,0.63
Luigi Vitale,Left Back,Defender,0.54
Claud Adjapong,Right Back,Defender,3.15
Davide Faraoni,Right Back,Defender,0.81
Wesley,Right Back,Defender,0.18
Miguel Veloso,Defensive Midfield,Midfielder,0.9
Andrea Danzi,Defensive Midfield,Midfielder,0.45
Daniel Bessa,Central Midfield,Midfielder,3.6
Valerio Verre,Central Midfield,Midfielder,3.15
Sofyan Amrabat,Central Midfield,Midfielder,2.7
Mattia Zaccagni,Central Midfield,Midfielder,2.25
Emmanuel Badu,Central Midfield,Midfielder,1.35
Matteo Pessina,Central Midfield,Midfielder,1.35
Liam Henderson,Central Midfield,Midfielder,1.26
Lucas Felippe,Central Midfield,Midfielder,0.068
Darko Lazovic,Right Midfield,Midfielder,2.7
Gennaro Tutino,Left Winger,Midfielder,2.25
Antonio Di Gaudio,Left Winger,Midfielder,1.26
Mariusz Stepinski,Centre Forward,Striker,3.6
Eddie Salcedo,Centre Forward,Striker,1.8
Samuel Di Carmine,Centre Forward,Striker,1.53
Giampaolo Pazzini,Centre Forward,Striker,0.45
Lubomir Tupta,Centre Forward,Striker,0.36
Francesco Vicari,Centre Back,Defender,4.5
Igor,Centre Back,Defender,2.7
Thiago Cionek,Centre Back,Defender,0.72
Bartosz Salamon,Centre Back,Defender,0.72
Nenad Tomovi?,Centre Back,Defender,0.54
Felipe,Centre Back,Defender,0.45
Paolo Cannistra,Centre Back,Defender,0.023
Arkadiusz Reca,Left Back,Defender,3.15
Riccardo Mastrilli,Left Back,Defender,0.09
Jacopo Sala,Right Back,Defender,1.44
Simone Missiroli,Defensive Midfield,Midfielder,1.8
Mirko Valdifiori,Defensive Midfield,Midfielder,0.45
Jasmin Kurtic,Central Midfield,Midfielder,5.4
Alessandro Murgia,Central Midfield,Midfielder,4.5
Mattia Valoti,Central Midfield,Midfielder,0.9
Marco DAlessandro,Right Midfield,Midfielder,1.8
Gabriel Strefezza,Right Midfield,Midfielder,0.63
Mohamed Fares,Left Midfield,Midfielder,5.4
Federico Di Francesco,Left Winger,Midfielder,4.05
Marko Jankovic,Right Winger,Midfielder,1.62
Andrea Petagna,Centre Forward,Striker,18.0
Gabriele Moncini,Centre Forward,Striker,1.8
Alberto Paloschi,Centre Forward,Striker,1.8
Sergio Floccari,Centre Forward,Striker,0.27
Fabio Lucioni,Centre Back,Defender,0.81
Biagio Meccariello,Centre Back,Defender,0.54
Luca Rossettini,Centre Back,Defender,0.45
Davide Riccardi,Centre Back,Defender,0.135
Luka Dumancic,Centre Back,Defender,0.068
Cristian DellOrco,Left Back,Defender,0.9
Marco Calderoni,Left Back,Defender,0.63
Brayan Vera,Left Back,Defender,0.45
Antonino Gallo,Left Back,Defender,0.18
Romario Benzar,Right Back,Defender,2.25
Andrea Rispoli,Right Back,Defender,0.9
Riccardo Fiamozzi,Right Back,Defender,0.63
Roberto Pierno,Right Back,Defender,0.09
Giannelli Imbula,Defensive Midfield,Midfielder,4.5
Panagiotis Tachtsidis,Defensive Midfield,Midfielder,1.08
Jacopo Petriccione,Central Midfield,Midfielder,1.8
Yevhen Shakhov,Central Midfield,Midfielder,1.8
Zan Majer,Central Midfield,Midfielder,1.35
Andrea Tabanelli,Central Midfield,Midfielder,0.54
Radoslav Tsonev,Central Midfield,Midfielder,0.225
Marco Mancosu,Attacking Midfield,Midfielder,2.25
Diego Farias,Second Striker,Striker,4.05
Filippo Falco,Second Striker,Striker,3.6
Simone Lo Faso,Second Striker,Striker,0.45
Edgaras Dubickas,Second Striker,Striker,0.09
Khouma Babacar,Centre Forward,Striker,7.2
Gianluca Lapadula,Centre Forward,Striker,4.5
Andrea La Mantia,Centre Forward,Striker,2.25
Armando Izzo,Centre Back,Defender,18.0
Nicolas NKoulou,Centre Back,Defender,18.0
Lyanco,Centre Back,Defender,7.2
Kevin Bonifazi,Centre Back,Defender,4.95
Koffi Djidji,Centre Back,Defender,4.5
Bremer,Centre Back,Defender,3.15
Wilfried Stephane Singo,Centre Back,Defender,0.113
Cristian Ansaldi,Left Back,Defender,4.5
Ola Aina,Right Back,Defender,9.0
Lorenzo De Silvestri,Right Back,Defender,3.6
Tomas Rincon,Defensive Midfield,Midfielder,7.2
Soualiho Meite,Central Midfield,Midfielder,11.7
Daniele Baselli,Central Midfield,Midfielder,9.0
Sasa Lukic,Central Midfield,Midfielder,3.6
Diego Laxalt,Left Midfield,Midfielder,10.8
Alex Berenguer,Left Winger,Midfielder,5.4
Simone Verdi,Right Winger,Midfielder,20.7
Iago Falque,Right Winger,Midfielder,15.75
Vittorio Parigini,Right Winger,Midfielder,1.8
Simone Edera,Right Winger,Midfielder,0.9
Vincenzo Millico,Second Striker,Striker,0.9
Andrea Belotti,Centre Forward,Striker,31.5
Simone Zaza,Centre Forward,Striker,9.0
Nicola Rauti,Centre Forward,Striker,0.36
Francesco Acerbi,Centre Back,Defender,10.8
Luiz Felipe,Centre Back,Defender,9.0
Denis Vavro,Centre Back,Defender,7.2
Stefan Radu,Centre Back,Defender,4.5
Bastos,Centre Back,Defender,3.6
Nicolo Armini,Centre Back,Defender,0.18
Jorge Silva,Centre Back,Defender,0.045
Jordan Lukaku,Left Back,Defender,5.4
Riza Durmisi,Left Back,Defender,3.6
Patric,Right Back,Defender,1.62
Tiago Casasola,Right Back,Defender,0.45
Lucas Leiva,Defensive Midfield,Midfielder,8.1
Sergej Milinkovic Savic,Central Midfield,Midfielder,58.5
Valon Berisha,Central Midfield,Midfielder,6.3
Danilo Cataldi,Central Midfield,Midfielder,3.6
Marco Parolo,Central Midfield,Midfielder,2.7
Manuel Lazzari,Right Midfield,Midfielder,16.2
Adam Marusic,Right Midfield,Midfielder,6.3
Djavan Anderson,Right Midfield,Midfielder,0.27
Senad Lulic,Left Midfield,Midfielder,3.6
Luis Alberto,Attacking Midfield,Midfielder,25.2
Andre Anderson,Attacking Midfield,Midfielder,0.81
Jony,Left Winger,Midfielder,9.0
Ricardo Kishna,Left Winger,Midfielder,0.9
Bobby Adekanye,Right Winger,Midfielder,0.54
Joaquin Correa,Second Striker,Striker,25.2
Ciro Immobile,Centre Forward,Striker,36.0
Felipe Caicedo,Centre Forward,Striker,2.7
Cristian Romero,Centre Back,Defender,13.5
Davide Biraschi,Centre Back,Defender,4.05
Cristian Zapata,Centre Back,Defender,1.8
Edoardo Goldaniga,Centre Back,Defender,1.8
Jawad El Yamiq,Centre Back,Defender,0.72
Antonio Barreca,Left Back,Defender,6.3
Domenico Criscito,Left Back,Defender,3.6
Marko Pajac,Left Back,Defender,1.35
Peter Ankersen,Right Back,Defender,2.7
Paolo Ghiglione,Right Back,Defender,2.25
Lasse Schone,Defensive Midfield,Midfielder,2.7
Ivan Radovanovic,Defensive Midfield,Midfielder,2.7
Sandro,Defensive Midfield,Midfielder,1.8
Stefano Sturaro,Central Midfield,Midfielder,9.0
Lukas Lerager,Central Midfield,Midfielder,5.4
Francesco Cassata,Central Midfield,Midfielder,3.15
Filip Jagiello,Central Midfield,Midfielder,1.35
Kevin Agudelo,Central Midfield,Midfielder,1.17
Riccardo Saponara,Attacking Midfield,Midfielder,3.6
Sinan Gumus,Right Winger,Midfielder,1.17
Goran Pandev,Second Striker,Striker,0.36
Christian Kouame,Centre Forward,Striker,19.8
Andrea Pinamonti,Centre Forward,Striker,13.5
Antonio Sanabria,Centre Forward,Striker,8.1
Andrea Favilli,Centre Forward,Striker,5.4
Rafael Toloi,Centre Back,Defender,9.9
Jose Luis Palomino,Centre Back,Defender,9.0
Simon Kjaer,Centre Back,Defender,7.2
Berat Djimsiti,Centre Back,Defender,6.75
Roger Ibanez,Centre Back,Defender,2.7
Andrea Masiello,Centre Back,Defender,0.9
Robin Gosens,Left Back,Defender,10.8
Guilherme Arana,Left Back,Defender,2.7
Timothy Castagne,Right Back,Defender,16.2
Hans Hateboer,Right Back,Defender,13.5
Marten de Roon,Central Midfield,Midfielder,21.6
Remo Freuler,Central Midfield,Midfielder,18.0
Ruslan Malinovskyi,Central Midfield,Midfielder,11.25
Mario Pasalic,Central Midfield,Midfielder,9.0
Josip Ilicic,Second Striker,Striker,15.3
Papu Gomez,Second Striker,Striker,14.4
Duvan Zapata,Centre Forward,Striker,40.5
Luis Muriel,Centre Forward,Striker,13.5
Musa Barrow,Centre Forward,Striker,4.5
Alessio Romagnoli,Centre Back,Defender,45.0
Mattia Caldara,Centre Back,Defender,18.0
Mateo Musacchio,Centre Back,Defender,13.5
Leo Duarte,Centre Back,Defender,7.2
Matteo Gabbia,Centre Back,Defender,0.45
Theo Hernandez,Left Back,Defender,16.2
Ricardo Rodriguez,Left Back,Defender,11.7
Davide Calabria,Right Back,Defender,16.2
Andrea Conti,Right Back,Defender,13.5
Ismael Bennacer,Defensive Midfield,Midfielder,15.3
Lucas Biglia,Defensive Midfield,Midfielder,5.4
Franck Kessie,Central Midfield,Midfielder,27.0
Giacomo Bonaventura,Central Midfield,Midfielder,18.0
Rade Krunic,Central Midfield,Midfielder,7.2
Lucas Paqueta,Attacking Midfield,Midfielder,31.5
Hakan Calhanoglu,Left Winger,Midfielder,16.2
Fabio Borini,Left Winger,Midfielder,6.3
Suso,Right Winger,Midfielder,29.7
Samu Castillejo,Right Winger,Midfielder,13.5
Ante Rebic,Second Striker,Striker,36.0
Krzysztof Piatek,Centre Forward,Striker,36.0
Rafael Leao,Centre Forward,Striker,19.8
Pedro Mendes,Centre Back,Defender,5.4
Nicolas Cozza,Centre Back,Defender,3.6
Daniel Congre,Centre Back,Defender,0.675
Clement Vidal,Centre Back,Defender,0.135
Vitorino Hilton,Centre Back,Defender,0.09
Ambroise Oyongo,Left Back,Defender,3.6
Mihailo Ristic,Left Back,Defender,0.72
Arnaud Souquet,Right Back,Defender,3.15
Mathias Suarez,Right Back,Defender,1.35
Junior Sambia,Defensive Midfield,Midfielder,3.6
Damien Le Tallec,Defensive Midfield,Midfielder,3.6
Joris Chotard,Defensive Midfield,Midfielder,0.45
Kylian Kaiboue,Defensive Midfield,Midfielder,0.135
Teji Savanier,Central Midfield,Midfielder,10.8
Jordan Ferri,Central Midfield,Midfielder,3.6
Florent Mollet,Attacking Midfield,Midfielder,8.1
Amir Adouyev,Attacking Midfield,Midfielder,0.135
Keagan Dolly,Left Winger,Midfielder,1.17
Bilal Boutobba,Right Winger,Midfielder,0.45
Souleymane Camara,Right Winger,Midfielder,0.225
Andy Delort,Centre Forward,Striker,11.25
Gaetan Laborde,Centre Forward,Striker,9.0
Petar Skuletic,Centre Forward,Striker,0.9
Christophe Herelle,Centre Back,Defender,8.1
Stanley Nsoki,Centre Back,Defender,7.65
Dante,Centre Back,Defender,1.35
Andy Pelmard,Centre Back,Defender,1.35
Ibrahim Cisse,Centre Back,Defender,0.45
Gautier Lloris,Centre Back,Defender,0.135
Malang Sarr,Left Back,Defender,16.2
Racine Coly,Left Back,Defender,2.25
Youcef Atal,Right Back,Defender,22.5
Patrick Burner,Right Back,Defender,3.15
Adrien Tameze,Defensive Midfield,Midfielder,7.2
Danilo,Defensive Midfield,Midfielder,7.2
Khephren Thuram,Defensive Midfield,Midfielder,1.35
Wylan Cyprien,Central Midfield,Midfielder,16.2
Pierre Lees Melou,Central Midfield,Midfielder,7.2
Remi Walter,Central Midfield,Midfielder,3.15
Arnaud Lusamba,Central Midfield,Midfielder,1.8
Hichem Boudaoui,Central Midfield,Midfielder,1.26
Alexis Claude Maurice,Left Winger,Midfielder,6.75
Adam Ounas,Right Winger,Midfielder,9.0
Bassem Srarfi,Right Winger,Midfielder,2.7
Kasper Dolberg,Centre Forward,Striker,16.2
Myziane Maolida,Centre Forward,Striker,7.2
Ignatius Ganago,Centre Forward,Striker,2.7
Alexander Djiku,Centre Back,Defender,7.2
Stefan Mitrovic,Centre Back,Defender,3.15
Lamine Kone,Centre Back,Defender,2.7
Anthony Caci,Centre Back,Defender,2.7
Lionel Carole,Left Back,Defender,2.7
Abdallah Ndour,Left Back,Defender,0.54
Kenny Lala,Right Back,Defender,12.6
Mohamed Simakan,Right Back,Defender,2.25
Ismael Aaneba,Right Back,Defender,0.9
Ibrahima Sissoko,Defensive Midfield,Midfielder,5.85
Jeremy Grimm,Defensive Midfield,Midfielder,0.45
Youssouf Fofana,Central Midfield,Midfielder,4.5
Sanjin Prcic,Central Midfield,Midfielder,3.6
Jean Ricner Bellegarde,Central Midfield,Midfielder,2.25
Dimitri Lienard,Central Midfield,Midfielder,1.8
Moataz Zemzemi,Left Midfield,Midfielder,0.225
Adrien Thomasson,Attacking Midfield,Midfielder,7.2
Benjamin Corgnet,Attacking Midfield,Midfielder,0.72
Lebo Mothiba,Centre Forward,Striker,6.3
Nuno Da Costa,Centre Forward,Striker,4.5
Ludovic Ajorque,Centre Forward,Striker,3.6
Kevin Zohi,Centre Forward,Striker,1.8
Marquinhos,Centre Back,Defender,58.5
Thilo Kehrer,Centre Back,Defender,31.5
Abdou Diallo,Centre Back,Defender,31.5
Presnel Kimpembe,Centre Back,Defender,27.0
Thiago Silva,Centre Back,Defender,5.4
Loic Mbe Soh,Centre Back,Defender,2.7
Layvin Kurzawa,Left Back,Defender,15.75
Juan Bernat,Left Back,Defender,13.5
Mitchel Bakker,Left Back,Defender,0.45
Thomas Meunier,Right Back,Defender,27.0
Colin Dagba,Right Back,Defender,16.2
Idrissa Gueye,Defensive Midfield,Midfielder,27.0
Leandro Paredes,Defensive Midfield,Midfielder,22.5
Marco Verratti,Central Midfield,Midfielder,67.5
Julian Draxler,Central Midfield,Midfielder,31.5
Ander Herrera,Central Midfield,Midfielder,22.5
Adil Aouchiche,Attacking Midfield,Midfielder,2.7
Neymar,Left Winger,Midfielder,162.0
Angel Di Maria,Right Winger,Midfielder,36.0
Pablo Sarabia,Right Winger,Midfielder,36.0
Kylian Mbappe,Centre Forward,Striker,180.0
Mauro Icardi,Centre Forward,Striker,67.5
Edinson Cavani,Centre Forward,Striker,36.0
Eric Maxim Choupo Moting,Centre Forward,Striker,4.5
Joachim Andersen,Centre Back,Defender,22.5
Jason Denayer,Centre Back,Defender,13.5
Marcelo,Centre Back,Defender,6.3
Mapou Yanga Mbiwa,Centre Back,Defender,1.8
Oumar Solet,Centre Back,Defender,0.9
Youssouf Kone,Left Back,Defender,8.1
Marcal,Left Back,Defender,4.5
Leo Dubois,Right Back,Defender,12.15
Rafael,Right Back,Defender,8.1
Kenny Tete,Right Back,Defender,7.2
Thiago Mendes,Defensive Midfield,Midfielder,22.5
Lucas Tousart,Defensive Midfield,Midfielder,18.0
Houssem Aouar,Central Midfield,Midfielder,40.5
Jeff Reine Adelaide,Central Midfield,Midfielder,22.5
Jean Lucas,Central Midfield,Midfielder,4.5
Maxence Caqueret,Central Midfield,Midfielder,0.45
Memphis Depay,Left Winger,Midfielder,40.5
Martin Terrier,Left Winger,Midfielder,13.5
Boubacar Fofana,Left Winger,Midfielder,0.18
Bertrand Traore,Right Winger,Midfielder,13.5
Maxwel Cornet,Right Winger,Midfielder,13.5
Moussa Dembele,Centre Forward,Striker,27.0
Amine Gouiri,Centre Forward,Striker,4.05
Boubacar Kamara,Centre Back,Defender,16.2
Duje Caleta Car,Centre Back,Defender,13.5
Alvaro Gonzalez,Centre Back,Defender,7.2
Lucas Perrin,Centre Back,Defender,0.27
Jordan Amavi,Left Back,Defender,7.2
Hiroki Sakai,Right Back,Defender,7.2
Bouna Sarr,Right Back,Defender,5.4
Abdallah Ali Mohamed,Right Back,Defender,0.135
Kevin Strootman,Defensive Midfield,Midfielder,10.8
Gregory Sertic,Defensive Midfield,Midfielder,0.9
Alexandre Phliponeau,Defensive Midfield,Midfielder,0.225
Morgan Sanson,Central Midfield,Midfielder,25.2
Valentin Rongier,Central Midfield,Midfielder,13.5
Maxime Lopez,Central Midfield,Midfielder,13.5
Saif Eddine Khaoui,Attacking Midfield,Midfielder,3.15
Florian Chabrolle,Attacking Midfield,Midfielder,0.135
Dimitri Payet,Left Winger,Midfielder,11.25
Nemanja Radonjic,Left Winger,Midfielder,4.5
Marley Ake,Left Winger,Midfielder,0.135
Florian Thauvin,Right Winger,Midfielder,40.5
Isaac Lihadji,Right Winger,Midfielder,0.45
Dario Benedetto,Centre Forward,Striker,13.5
Valere Germain,Centre Forward,Striker,6.3
Pablo,Centre Back,Defender,9.0
Laurent Koscielny,Centre Back,Defender,4.5
Mexer,Centre Back,Defender,3.6
Vukasin Jovanovic,Centre Back,Defender,2.7
Paul Baysse,Centre Back,Defender,1.8
Maxime Poundje,Left Back,Defender,4.5
Loris Benito,Left Back,Defender,3.6
Youssouf Sabaly,Right Back,Defender,9.0
Enock Kwateng,Right Back,Defender,3.6
Raoul Bellanova,Right Back,Defender,0.9
Otavio,Defensive Midfield,Midfielder,6.3
Albert Lottin,Defensive Midfield,Midfielder,0.45
Aurelien Tchouameni,Central Midfield,Midfielder,6.3
Youssef Ait Bennasser,Central Midfield,Midfielder,6.3
Younousse Sankhare,Central Midfield,Midfielder,4.5
Toma Basic,Central Midfield,Midfielder,4.5
Yacine Adli,Attacking Midfield,Midfielder,4.95
Yassine Benrahou,Attacking Midfield,Midfielder,0.9
Francois Kamano,Left Winger,Midfielder,13.5
Samuel Kalu,Right Winger,Midfielder,9.0
Jonathan Cafu,Right Winger,Midfielder,1.8
Nicolas de Preville,Centre Forward,Striker,3.6
Jimmy Briand,Centre Forward,Striker,2.25
Ui jo Hwang,Centre Forward,Striker,1.8
Josh Maja,Centre Forward,Striker,1.53
Axel Disasi,Centre Back,Defender,3.15
Dario Maresic,Centre Back,Defender,2.7
Yunis Abdelhamid,Centre Back,Defender,2.25
Marshall Munetsi,Centre Back,Defender,0.495
Ghislain Konan,Left Back,Defender,3.6
Hassane Kamara,Left Back,Defender,2.25
Lenny Vallier,Left Back,Defender,0.27
Thomas Foket,Right Back,Defender,5.4
Xavier Chavalerin,Defensive Midfield,Midfielder,3.6
Nolan Mbemba,Defensive Midfield,Midfielder,0.675
Alaixys Romao,Defensive Midfield,Midfielder,0.45
Sambou Sissoko,Defensive Midfield,Midfielder,0.45
Tristan Dingome,Central Midfield,Midfielder,2.25
Gregory Berthier,Right Midfield,Midfielder,0.54
Dereck Kutesa,Left Midfield,Midfielder,1.58
Mathieu Cafaro,Attacking Midfield,Midfielder,6.75
Moreto Cassama,Attacking Midfield,Midfielder,0.315
Arber Zeneli,Left Winger,Midfielder,5.4
Moussa Doumbia,Left Winger,Midfielder,1.8
Nathanael Mbuku,Left Winger,Midfielder,0.9
Remi Oudin,Right Winger,Midfielder,9.9
Anastasios Donis,Centre Forward,Striker,3.6
Hyun jun Suk,Centre Forward,Striker,3.15
Boulaye Dia,Centre Forward,Striker,3.15
Timothe Nkada,Centre Forward,Striker,0.135
Virgile Pinson,Centre Forward,Striker,0.135
Mamadou Fofana,Centre Back,Defender,1.8
Stoppila Sunzu,Centre Back,Defender,1.8
John Boye,Centre Back,Defender,0.9
Thomas Delaine,Left Back,Defender,1.35
Manuel Cabit,Left Back,Defender,0.72
Matthieu Udol,Left Back,Defender,0.36
Fabien Centonze,Right Back,Defender,2.25
Kevin NDoram,Defensive Midfield,Midfielder,3.6
Habib Maiga,Defensive Midfield,Midfielder,0.9
Victorien Angban,Central Midfield,Midfielder,3.15
Adama Traore,Central Midfield,Midfielder,1.98
Marvin Gakpa,Central Midfield,Midfielder,0.9
Renaud Cohade,Central Midfield,Midfielder,0.9
Sami Lahssaini,Central Midfield,Midfielder,0.135
Boubacar Traore,Central Midfield,Midfielder,0.09
Opa Nguette,Left Winger,Midfielder,1.8
Adama Traore,Left Winger,Midfielder,0.27
Farid Boulaya,Right Winger,Midfielder,1.8
Papa Ndiaga Yade,Second Striker,Striker,0.135
Habib Diallo,Centre Forward,Striker,5.4
Ibrahima Niane,Centre Forward,Striker,3.15
Thierry Ambrose,Centre Forward,Striker,1.8
Amadou Ndiaye,Centre Forward,Striker,0.135
Nicolas Pallois,Centre Back,Defender,2.25
Molla Wague,Centre Back,Defender,0.9
Thomas Basila,Centre Back,Defender,0.45
Josue Homawoo,Centre Back,Defender,0.135
Charles Traore,Left Back,Defender,2.7
Wesley Moustache,Left Back,Defender,0.135
Fabio,Right Back,Defender,2.25
Dennis Appiah,Right Back,Defender,1.35
Abdoulaye Toure,Defensive Midfield,Midfielder,9.0
Andrei Girotto,Defensive Midfield,Midfielder,2.7
Batista Mendy,Defensive Midfield,Midfielder,0.135
Ludovic Blas,Central Midfield,Midfielder,6.3
