Player,Age,Country,Foot,ContractExp,ContractExpY,POS,Position,ValMillions,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Nicolas de Preville,28,France,right,30/06/2021,2021,Centre Forward,Striker,3.6,94,6203,69,25,35,14,0,0,26,9,1,5,4,179,61,47,243,48,106,17,75,22,7,101,76,154,138,1535,2079,18,111,328,131,473,0,1,102,36,17,77,25,9,0,0,173,0,3833,268,7,6,0,1,21,6,98,89,68,15,3,1,84,8,1,65,65,92,4,0,21,9,16,279
Nicolas NKoulou,29,Cameroon,right,30/06/2021,2021,Centre Back,Defender,18,91,8027,91,0,2,13,2,2,4,0,0,0,0,26,8,172,1,1,11,1,11,0,57,121,84,96,77,3519,3919,1,211,624,34,438,1,2,23,8,4,3,0,0,0,0,21,0,5028,43,0,0,0,0,0,0,0,0,2,0,0,0,105,27,5,412,408,269,1,1,0,1,2,42
Oliver McBurnie,23,Scotland  England,right,30/06/2023,2023,Centre Forward,Striker,10.8,26,826,7,19,6,2,0,0,1,1,0,1,0,17,6,4,5,1,6,2,5,0,0,9,7,14,7,169,251,1,67,40,5,87,0,0,17,6,1,0,0,0,0,0,24,0,412,43,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,21,21,3,1,0,1,1,0,8
Oscar de Marcos,30,Spain,right,30/06/2021,2021,Right Back,Defender,5.4,82,6426,75,7,17,12,1,2,3,8,0,8,0,32,13,78,225,61,73,16,63,0,11,143,92,84,37,2227,2871,61,93,350,32,301,0,0,23,11,2,9,2,1,2,1,42,0,4572,128,0,0,0,0,0,0,1,0,48,0,0,0,87,10,0,111,106,139,3,2,19,5,2,70
Pablo de Blasis,31,Argentina,right,30/06/2020,2020,Left Winger,Midfielder,1.8,88,5416,59,29,21,10,0,1,12,8,0,6,2,80,40,57,142,37,89,14,80,1,1,112,64,81,62,1562,2219,37,91,330,48,308,0,0,54,31,11,26,9,1,0,1,90,0,3445,165,4,4,0,0,1,0,0,0,38,4,2,0,78,9,0,61,61,130,2,0,19,2,9,115
Patrick van Aanholt,29,Netherlands  Curacao,left,30/06/2021,2021,Left Back,Defender,9,106,8780,99,7,11,13,0,0,15,4,0,4,0,121,38,160,198,54,96,11,77,15,28,150,91,46,42,3068,3874,32,33,593,84,309,0,7,55,25,14,66,13,1,0,0,51,1,6213,161,1,1,0,0,27,10,32,30,52,11,5,0,149,22,1,216,207,176,4,1,19,3,11,135
Rodrigo de Paul,25,Argentina  Italy,right,30/06/2024,2024,Central Midfield,Midfielder,22.5,114,8349,99,15,38,19,0,2,17,17,3,8,9,201,69,68,573,145,221,34,144,60,6,146,97,107,218,2784,3607,57,9,588,220,592,0,2,67,28,10,134,41,7,0,0,199,0,6035,179,10,7,1,2,61,16,265,220,106,17,4,0,136,13,2,29,27,326,15,0,3,16,9,357
Sam McQueen,24,England,left,30/06/2021,2021,Left Back,Defender,0.9,20,750,6,14,0,0,0,0,0,0,0,0,0,2,0,18,41,4,5,1,5,0,5,19,15,3,3,271,365,4,21,64,3,45,0,0,1,0,0,1,0,0,0,1,9,0,614,12,0,0,0,0,0,0,0,0,5,0,0,0,11,2,0,28,27,12,0,0,1,0,0,5
Scott McTominay,22,Scotland  England,right,30/06/2023,2023,Central Midfield,Midfielder,18,42,2564,28,14,4,5,0,0,4,1,0,1,0,36,12,44,15,3,11,2,10,0,10,46,28,38,63,1171,1408,3,68,186,21,196,1,1,16,7,2,20,5,2,0,0,37,0,1865,42,0,0,0,0,0,0,0,0,11,0,0,0,31,8,0,44,44,73,0,0,1,3,0,35
Seong hoon Cheon,19,"Korea, South",right,30/06/2023,2023,Centre Forward,Striker,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan de Vrij,27,Netherlands,right,30/06/2023,2023,Centre Back,Defender,45,100,8578,99,1,12,9,0,0,10,6,0,3,3,45,16,167,3,0,22,3,16,0,73,117,85,64,32,4385,4858,0,155,632,24,324,2,1,39,15,9,6,1,1,0,0,8,1,5902,69,0,0,0,0,0,0,0,0,3,0,0,0,101,31,2,383,381,347,0,0,1,3,5,25
Sung yong Ki,30,"Korea, South",right,30/06/2020,2020,Defensive Midfield,Midfielder,5.4,69,4594,49,20,16,7,0,0,2,4,0,1,3,38,9,75,130,42,50,4,26,20,5,65,47,40,57,1917,2185,3,28,283,21,168,0,0,8,1,0,30,8,2,0,0,37,0,2833,37,0,0,0,0,31,11,84,76,16,2,1,0,83,6,0,61,61,169,1,0,2,1,0,33
Ui jo Hwang,27,"Korea, South",both,30/06/2023,2023,Centre Forward,Striker,1.8,10,747,9,1,5,1,0,0,2,1,0,1,0,15,6,2,2,0,4,2,3,0,0,3,2,7,17,178,206,0,5,30,5,29,0,0,6,2,0,9,4,2,0,0,11,0,316,22,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,1,1,3,1,0,4,1,0,13
Virgil van Dijk,28,Netherlands  Suriname,right,30/06/2023,2023,Centre Back,Defender,90,96,8482,95,1,2,6,1,1,6,2,0,1,1,83,22,153,1,0,23,9,20,0,54,108,77,49,66,5850,6634,0,479,507,22,663,1,3,66,19,6,17,3,0,0,0,8,0,7860,156,0,0,0,0,0,0,0,0,11,3,1,0,82,37,3,551,536,450,3,1,2,3,4,27
Weston McKennie,21,United States,right,30/06/2024,2024,Central Midfield,Midfielder,18,55,3548,38,17,13,10,0,0,1,4,0,3,1,39,12,72,16,5,35,5,29,2,15,73,40,80,30,1027,1385,5,134,205,26,261,1,0,30,10,1,9,2,0,0,0,38,0,2109,88,0,0,0,0,0,0,0,0,14,0,0,0,56,10,0,81,81,65,4,0,3,4,1,62
Yann MVila,29,France,right,30/06/2022,2022,Defensive Midfield,Midfielder,9,65,5732,65,0,4,7,0,1,0,2,0,2,0,22,4,122,12,3,33,2,31,0,15,116,65,35,63,3601,4154,2,92,407,18,278,1,5,5,1,0,17,3,0,0,0,33,0,4936,9,0,0,0,0,1,1,0,0,9,0,0,0,65,22,0,151,151,420,7,0,0,0,0,22
