,Player,POS,Valuation
633,Oriol Romeu,Defensive Midfield,£9.00m
636,James Ward-Prowse,Central Midfield,£16.20m
639,Pierre-Emile Höjbjerg,Central Midfield,£13.50m
642,Stuart Armstrong,Central Midfield,£7.20m
645,Nathan Redmond,Left Winger,£18.00m
648,Moussa Djenepo,Left Winger,£10.80m
651,Sofiane Boufal,Left Winger,£10.80m
654,Danny Ings,Centre-Forward,£13.50m
657,Che Adams,Centre-Forward,£10.80m
660,Shane Long,Centre-Forward,£4.50m
663,Michael Obafemi,Centre-Forward,£1.80m
666,Ederson,Goalkeeper,£63.00m
669,Claudio Bravo,Goalkeeper,£2.25m
672,Scott Carson,Goalkeeper,£1.80m
675,Aymeric Laporte,Centre-Back,£67.50m
678,John Stones,Centre-Back,£54.00m
681,Nicolás Otamendi,Centre-Back,£22.50m
684,Benjamin Mendy,Left-Back,£31.50m
687,Oleksandr Zinchenko,Left-Back,£27.00m
690,Angeliño,Left-Back,£14.40m
693,João Cancelo,Right-Back,£49.50m
696,Kyle Walker,Right-Back,£45.00m
699,Rodri,Defensive Midfield,£72.00m
702,Fernandinho,Defensive Midfield,£10.80m
705,Ilkay Gündogan,Central Midfield,£45.00m
708,Phil Foden,Central Midfield,£27.00m
711,Kevin De Bruyne,Attacking Midfield,£117.00m
714,David Silva,Attacking Midfield,£18.00m
717,Raheem Sterling,Left Winger,£126.00m
720,Leroy Sané,Left Winger,£90.00m
723,Bernardo Silva,Right Winger,£90.00m
726,Riyad Mahrez,Right Winger,£54.00m
729,Gabriel Jesus,Centre-Forward,£63.00m
732,Sergio Agüero,Centre-Forward,£58.50m
735,Ben Foster,Goalkeeper,£2.70m
738,Heurelho Gomes,Goalkeeper,£900k
741,Pontus Dahlberg,Goalkeeper,£900k
744,Daniel Bachmann,Goalkeeper,£450k
747,Christian Kabasele,Centre-Back,£7.20m
750,Craig Dawson,Centre-Back,£5.40m
753,Craig Cathcart,Centre-Back,£4.50m
756,Adrian Mariappa,Centre-Back,£2.70m
759,Sebastian Prödl,Centre-Back,£2.25m
762,Adam Masina,Left-Back,£4.50m
765,Marvin Zeegelaar,Left-Back,£2.25m
768,José Holebas,Left-Back,£1.80m
771,Daryl Janmaat,Right-Back,£5.40m
774,Kiko Femenía,Right-Back,£5.40m
777,Dimitri Foulquier,Right-Back,£3.15m
780,Étienne Capoue,Defensive Midfield,£7.20m
783,Nathaniel Chalobah,Defensive Midfield,£6.30m
786,Abdoulaye Doucouré,Central Midfield,£22.50m
789,Will Hughes,Central Midfield,£16.20m
792,Tom Cleverley,Central Midfield,£6.30m
795,Domingos Quina,Central Midfield,£4.50m
798,Tom Dele-Bashiru,Central Midfield,£135k
801,Roberto Pereyra,Attacking Midfield,£11.70m
804,Isaac Success,Left Winger,£4.50m
807,Ismaïla Sarr,Right Winger,£27.00m
810,Gerard Deulofeu,Right Winger,£22.50m
813,Andre Gray,Centre-Forward,£13.50m
816,Danny Welbeck,Centre-Forward,£10.80m
819,Troy Deeney,Centre-Forward,£9.00m
822,Wayne Hennessey,Goalkeeper,£4.50m
825,Vicente Guaita,Goalkeeper,£4.50m
828,Stephen Henderson,Goalkeeper,£450k
831,Dion Henry,Goalkeeper,£45k
834,Mamadou Sakho,Centre-Back,£13.50m
837,James Tomkins,Centre-Back,£5.40m
840,Gary Cahill,Centre-Back,£5.40m
843,Jairo Riedewald,Centre-Back,£4.50m
846,Scott Dann,Centre-Back,£3.60m
849,Patrick van Aanholt,Left-Back,£9.00m
852,Joel Ward,Right-Back,£3.60m
855,Martin Kelly,Right-Back,£2.70m
858,Luka Milivojevic,Defensive Midfield,£18.00m
861,Cheikhou Kouyaté,Defensive Midfield,£9.00m
864,Víctor Camarasa,Central Midfield,£9.00m
867,James McArthur,Central Midfield,£6.30m
870,James McCarthy,Central Midfield,£4.50m
873,Jeffrey Schlupp,Left Midfield,£9.00m
876,Max Meyer,Attacking Midfield,£13.50m
879,Wilfried Zaha,Right Winger,£49.50m
882,Andros Townsend,Right Winger,£13.50m
885,Christian Benteke,Centre-Forward,£13.50m
888,Jordan Ayew,Centre-Forward,£7.20m
891,Connor Wickham,Centre-Forward,£2.70m
894,Mathew Ryan,Goalkeeper,£9.00m
897,David Button,Goalkeeper,£1.35m
900,Jason Steele,Goalkeeper,£675k
903,Lewis Dunk,Centre-Back,£18.00m
906,Adam Webster,Centre-Back,£13.50m
909,Shane Duffy,Centre-Back,£10.80m
912,Dan Burn,Centre-Back,£2.70m
915,Leon Balogun,Centre-Back,£1.80m
918,Bernardo,Left-Back,£8.10m
921,Gaëtan Bong,Left-Back,£1.80m
924,Martín Montoya,Right-Back,£7.20m
927,Ezequiel Schelotto,Right-Back,£1.80m
930,Tudor Baluta,Defensive Midfield,£4.05m
933,Yves Bissouma,Central Midfield,£13.50m
936,Davy Pröpper,Central Midfield,£13.50m
